37,Ihlas Bebou,2023-2024,29,tg TOG,Hoffenheim,de Bundesliga,32,1636,18.2,16,16,2,7,5,12,7,0,0,0,FWDF,a53b661f
38,Adrian Beck,2023-2024,26,de GER,Heidenheim,de Bundesliga,23,974,10.8,11,12,5,1,1,2,1,0,0,0,MFFW,616c09f5
39,Sheraldo Becker,2023-2024,28,sr SUR,Union Berlin,de Bundesliga,11,645,7.2,7,4,0,0,1,1,0,0,0,0,FWMF,8eb55dbb
40,Chris Bedia,2023-2024,27,ci CIV,Union Berlin,de Bundesliga,7,145,1.6,0,7,8,1,0,1,1,0,0,0,FWMF,ec11ecf8
41,Donny van de Beek,2023-2024,26,nl NED,Eint Frankfurt,de Bundesliga,8,357,4.0,4,4,7,0,0,0,0,0,0,0,MFFW,50dc94ce
42,Kevin Behrens,2023-2024,32,de GER,2 Teams,de Bundesliga,31,1878,20.9,21,10,2,5,1,6,5,0,0,0,FW,30ae134d
43,Morten Behrens,2023-2024,26,de GER,Darmstadt 98,de Bundesliga,0,,,0,0,12,,,,,,,,GK,9c273730
44,Maximilian Beier,2023-2024,20,de GER,Hoffenheim,de Bundesliga,33,2420,26.9,29,4,0,16,1,17,16,0,0,0,FWMF,5db45ee5
45,Stefan Bell,2023-2024,31,de GER,Mainz 05,de Bundesliga,10,666,7.4,8,2,4,0,0,0,0,0,0,0,DF,857a5abe
46,Ramy Bensebaini,2023-2024,28,dz ALG,Dortmund,de Bundesliga,17,1033,11.5,11,6,3,0,0,0,0,0,0,0,DF,378825c7
47,Mergim Berisha,2023-2024,25,de GER,2 Teams,de Bundesliga,8,266,3.0,2,6,2,0,0,0,0,0,0,0,FW,eb6e14be
48,Bernardo,2023-2024,28,br BRA,Bochum,de Bundesliga,33,2924,32.5,33,0,0,1,0,1,1,0,0,0,DF,17370b95
49,Matúš Bero,2023-2024,27,sk SVK,Bochum,de Bundesliga,24,1661,18.5,20,4,0,1,1,2,1,0,0,0,MFFW,b5e0af76
50,Jan-Niklas Beste,2023-2024,24,de GER,Heidenheim,de Bundesliga,31,2603,28.9,31,0,0,8,11,19,8,0,1,1,FWMF,57382429
51,Pep Biel,2023-2024,26,es ESP,Augsburg,de Bundesliga,11,285,3.2,0,11,3,0,0,0,0,0,0,0,MFFW,1c59240b
52,Tom Bischof,2023-2024,18,de GER,Hoffenheim,de Bundesliga,13,178,2.0,1,12,15,0,2,2,0,0,0,0,MFFW,07d3bfec
53,Leonardo Bittencourt,2023-2024,29,de GER,Werder Bremen,de Bundesliga,29,1578,17.5,19,10,3,1,2,3,1,0,0,0,MF,dc62fbee
54,Hendry Blank,2023-2024,18,de GER,Dortmund,de Bundesliga,1,45,0.5,0,1,4,0,0,0,0,0,0,0,DF,76abb354
55,Janis Blaswich,2023-2024,32,de GER,RB Leipzig,de Bundesliga,21,1890,21.0,21,0,13,0,0,0,0,0,0,0,GK,663e080e
56,Sacha Boey,2023-2024,22,fr FRA,Bayern Munich,de Bundesliga,2,109,1.2,1,1,2,0,0,0,0,0,0,0,DF,6c8ddd52
57,Victor Boniface,2023-2024,22,ng NGA,Leverkusen,de Bundesliga,23,1546,17.2,18,5,0,14,8,22,10,4,4,0,FW,b146275b
58,Leonardo Bonucci,2023-2024,36,it ITA,Union Berlin,de Bundesliga,7,460,5.1,6,1,5,1,0,1,0,1,1,0,DF,52ec54d0
59,Yvandro Borges Sanches,2023-2024,19,lu LUX,Gladbach,de Bundesliga,3,18,0.2,0,3,4,0,0,0,0,0,0,0,MFFW,36578017
60,Sebastiaan Bornauw,2023-2024,24,be BEL,Wolfsburg,de Bundesliga,20,1431,15.9,16,4,7,0,0,0,0,0,0,0,DF,01834aa0
61,Rafael Borré,2023-2024,27,co COL,Werder Bremen,de Bundesliga,19,991,11.0,11,8,1,4,0,4,4,0,0,0,FW,c68da769
62,Anders Børset,2023-2024,17,no NOR,Wolfsburg,de Bundesliga,0,,,0,0,1,,,,,,,,DF,6ace6343
63,Julian Brandt,2023-2024,27,de GER,Dortmund,de Bundesliga,32,2223,24.7,26,6,0,7,11,18,7,0,0,0,MFFW,a167537f
64,Fabian Bredlow,2023-2024,28,de GER,Stuttgart,de Bundesliga,4,360,4.0,4,0,26,0,0,0,0,0,0,0,GK,d28339cb
65,Tim Breithaupt,2023-2024,21,de GER,Augsburg,de Bundesliga,16,629,7.0,6,10,13,0,0,0,0,0,0,0,MF,ed98c321
66,Maximilian Breunig,2023-2024,22,de GER,Freiburg,de Bundesliga,2,9,0.1,0,2,6,0,0,0,0,0,0,0,FW,1e37c986
67,Bennit Bröger,2023-2024,17,de GER,Wolfsburg,de Bundesliga,1,11,0.1,0,1,0,0,0,0,0,0,0,0,FW,2d6b4904
68,John Brooks,2023-2024,30,us USA,Hoffenheim,de Bundesliga,21,1539,17.1,18,3,10,2,0,2,2,0,0,0,DF,e27da244
69,Moritz Broschinski,2023-2024,22,de GER,Bochum,de Bundesliga,26,1247,13.9,14,12,4,2,3,5,2,0,0,0,FW,bbd79358
70,Paris Brunner,2023-2024,17,de GER,Dortmund,de Bundesliga,0,,,0,0,1,,,,,,,,FW,a33ee121
71,Alexander Brunst,2023-2024,28,de GER,Darmstadt 98,de Bundesliga,3,270,3.0,3,0,21,0,0,0,0,0,0,0,GK,99219195
72,Guille Bueno,2023-2024,20,es ESP,Dortmund,de Bundesliga,0,,,0,0,1,,,,,,,,DF,6a133919
73,Marius Bülter,2023-2024,30,de GER,Hoffenheim,de Bundesliga,30,1351,15.0,15,15,1,1,4,5,1,0,0,0,DFFW,ab5b7dc1
74,Jonathan Burkardt,2023-2024,23,de GER,Mainz 05,de Bundesliga,21,1538,17.1,18,3,0,8,2,10,7,1,1,0,FWMF,05f99a4a
75,Oliver Burke,2023-2024,26,sct SCO,Werder Bremen,de Bundesliga,1,32,0.4,0,1,0,0,0,0,0,0,0,0,FW,f631c17f
76,Marnon Busch,2023-2024,28,de GER,Heidenheim,de Bundesliga,16,595,6.6,5,11,5,0,0,0,0,0,0,0,DF,c38767ab
77,Jakob Busk,2023-2024,29,dk DEN,Union Berlin,de Bundesliga,0,,,0,0,6,,,,,,,,GK,bb13d261
78,Aurélio Buta,2023-2024,26,pt POR,Eint Frankfurt,de Bundesliga,30,1744,19.4,20,10,2,1,1,2,1,0,0,0,DFMF,b4705807
79,Anthony Caci,2023-2024,26,fr FRA,Mainz 05,de Bundesliga,31,2486,27.6,29,2,0,2,3,5,2,0,0,0,DF,0118c54c
80,Emre Can,2023-2024,29,de GER,Dortmund,de Bundesliga,25,1953,21.7,22,3,4,2,2,4,0,2,2,0,MFDF,a65ce836
81,Irvin Cardona,2023-2024,25,fr FRA,Augsburg,de Bundesliga,3,54,0.6,0,3,1,0,0,0,0,0,0,0,MFDF,5e080f73
82,Rasmus Carstensen,2023-2024,22,dk DEN,Köln,de Bundesliga,23,1659,18.4,18,5,9,0,0,0,0,0,0,0,DFFW,64d7f629
83,Fabio Carvalho,2023-2024,20,pt POR,RB Leipzig,de Bundesliga,9,165,1.8,1,8,7,0,0,0,0,0,0,0,MF,966e28d0
84,Koen Casteels,2023-2024,31,be BEL,Wolfsburg,de Bundesliga,25,2250,25.0,25,0,0,0,0,0,0,0,0,0,GK,db401046
85,Václav Černý,2023-2024,25,cz CZE,Wolfsburg,de Bundesliga,22,921,10.2,12,10,8,4,1,5,4,0,0,0,FWMF,bb1cf301
86,Julian Chabot,2023-2024,25,de GER,Köln,de Bundesliga,32,2703,30.0,32,0,0,0,0,0,0,0,0,0,DF,ae7058f9
87,El Chadaille Bitshiabu,2023-2024,18,fr FRA,RB Leipzig,de Bundesliga,6,34,0.4,0,6,14,0,0,0,0,0,0,0,DFMF,2180c761
88,Fares Chaïbi,2023-2024,20,dz ALG,Eint Frankfurt,de Bundesliga,28,1912,21.2,21,7,1,2,4,6,2,0,0,0,MFFW,357103bd
89,Timothy Chandler,2023-2024,33,us USA,Eint Frankfurt,de Bundesliga,6,18,0.2,0,6,12,0,1,1,0,0,0,0,MFDF,b3b7f5a6
90,Anrie Chase,2023-2024,19,jp JPN,Stuttgart,de Bundesliga,0,,,0,0,9,,,,,,,,DF,ee2cf168
91,Fabio Chiarodia,2023-2024,18,it ITA,Gladbach,de Bundesliga,7,152,1.7,1,6,17,0,0,0,0,0,0,0,DF,48780156
92,Jacob Christensen,2023-2024,22,dk DEN,Köln,de Bundesliga,7,219,2.4,2,5,14,0,0,0,0,0,0,0,MF,324ff0da
93,Moussa Cissé,2023-2024,20,fr FRA,Stuttgart,de Bundesliga,0,,,0,0,3,,,,,,,,DF,f23db17d
94,David Čolina,2023-2024,23,hr CRO,Augsburg,de Bundesliga,0,,,0,0,3,,,,,,,,DF,dd5bbe0d
95,Nnamdi Collins,2023-2024,19,de GER,Eint Frankfurt,de Bundesliga,2,90,1.0,1,1,3,0,0,0,0,0,0,0,DF,8eb5c94c
