Name,Market Value
Randal Kolo Muani,€45.00m
Omar Marmoush,€22.00m
Hugo Ekitiké,€20.00m
Sasa Kalajdzic,€5.00m
Nacho Ferri,€2.00m
Jessic Ngankam,€1.50m
Lucas Alario,€1.50m
Noel Futkeu,€400k
Oliver Baumann,€3.00m
Nahuel Noll,€500k
Luca Philipp,€300k
Ozan Kabak,€10.00m
Attila Szalai,€4.00m
Kevin Akpoguma,€3.00m
Stanley Nsoki,€2.50m
Tim Drexler,€2.50m
Kevin Vogt,€2.00m
John Brooks,€2.00m
Joshua Quarshie,€800k
Kasim Adams,€700k
David Jurásek,€8.00m
Marco John,€1.50m
Pavel Kaderabek,€3.00m
Angelo Stiller,€20.00m
Florian Grillitsch,€6.50m
Diadié Samassékou,€2.00m
Anton Stach,€15.00m
Grischa Prömel,€7.00m
Umut Tohumcu,€7.00m
Tom Bischof,€3.50m
Dennis Geiger,€3.00m
Finn Ole Becker,€2.50m
Robert Skov,€5.00m
Julian Justvan,€1.50m
Marius Bülter,€2.50m
Bambasé Conté,€700k
Maximilian Beier,€30.00m
Mergim Berisha,€10.00m
Wout Weghorst,€6.00m
Andrej Kramaric,€5.00m
Ihlas Bebou,€4.00m
Max Moerstedt,€1.00m
Kevin Müller,€1.00m
Vitus Eicher,€250k
Frank Feller,€200k
Paul Tschernuth,€100k
Benedikt Gimber,€2.80m
Patrick Mainka,€2.50m
Tim Siersleben,€1.50m
Thomas Keller,€350k
Jan-Niklas Beste,€15.00m
Jonas Föhrenbach,€2.00m
Seedy Jarju,€200k
Omar Traoré,€2.50m
Marnon Busch,€1.20m
Lennard Maloney,€5.00m
Norman Theuerkauf,€300k
Luka Janes,€200k
Jan Schöppner,€3.00m
Kevin Sessa,€2.50m
Adrian Beck,€1.50m
Denis Thomalla,€750k
Florian Pick,€700k
Eren Dinkçi,€12.00m
Nikola Dovedan,€800k
Tim Kleindienst,€6.00m
Marvin Pieringer,€3.00m
Stefan Schimmer,€500k
Christian Kühlwetter,€500k
Elidon Qenaj,€100k
Michael Zetterer,€3.00m
Jiri Pavlenka,€1.50m
Dudu,€200k
Spyros Angelidis,-
Marco Friedl,€7.50m
Niklas Stark,€5.50m
Milos Veljkovic,€4.50m
Amos Pieper,€4.00m
Julián Malatini,€2.50m
Anthony Jung,€1.00m
Cimo Röcker,-
Mitchell Weiser,€6.00m
Felix Agu,€4.00m
Senne Lynen,€7.00m
Ilia Gruev,€5.00m
Skelly Alvero,€4.00m
Nicolai Rapp,€700k
Christian Groß,€300k
Jens Stage,€7.50m
Leonardo Bittencourt,€2.50m
Naby Keïta,€2.00m
Jakob Löpping,€125k
Olivier Deman,€5.00m
Leon Opitz,€600k
Romano Schmid,€10.00m
Isak Hansen-Aarøen,€1.50m
Justin Njinmah,€9.00m
Oliver Burke,€2.00m
Kein Sato,-
Nick Woltemade,€4.00m
Niclas Füllkrug,€15.00m
Marvin Ducksch,€9.00m
Rafael Borré,€8.00m
Dawid Kownacki,€2.00m
Joel Imasuen,-
Noah Atubolu,€10.00m
Florian Müller,€1.20m
Jaaso Jantunen,€400k
Benjamin Uphoff,€300k
Niklas Sauter,€250k
Philipp Lienhart,€15.00m
Matthias Ginter,€10.00m
Keven Schlotterbeck,€6.00m
Attila Szalai,€4.00m
Kenneth Schmidt,€2.50m
Manuel Gulde,€1.50m
Max Rosenfelder,€500k
Christian Günter,€5.00m
Jordy Makengo,€3.50m
Kiliann Sildillia,€15.00m
Lukas Kübler,€2.00m
Ryan Johansson,€250k
Yannik Keitel,€5.00m
Nicolas Höfler,€2.00m
Fabian Rüdlin,€350k
Maximilian Eggestein,€10.00m
Merlin Röhl,€12.00m
Daniel-Kofi Kyereh,€3.50m
Vincenzo Grifo,€9.00m
Noah Weißhaupt,€5.00m
Florent Muslija,€2.50m
Mika Baur,€1.80m
Ritsu Doan,€18.00m
Roland Sallai,€15.00m
Maximilian Philipp,€2.00m
Michael Gregoritsch,€8.00m
Lucas Höler,€4.00m
Junior Adamu,€4.00m
Maximilian Breunig,€800k
Finn Dahmen,€5.00m
Tomas Koubek,€800k
Marcel Lubik,€300k
Felix Uduokhai,€7.00m
Maximilian Bauer,€3.00m
Patric Pfeiffer,€2.00m
Jeffrey Gouweleeuw,€2.00m
Japhet Tanganga,€1.80m
Reece Oxford,€1.50m
Frederik Winther,€800k
David Deger,€100k
Iago,€4.00m
Mads Pedersen,€2.50m
David Colina,€1.00m
Kevin Mbabu,€4.00m
Robert Gumny,€2.00m
Raphael Framberger,€600k
Kristijan Jakic,€6.50m
Niklas Dorsch,€4.00m
Tim Breithaupt,€3.00m
Mahmut Kücüksahin,€100k
Arne Engels,€9.00m
Arne Maier,€5.00m
Elvis Rexhbecaj,€3.50m
Aaron Zehnter,€1.50m
Fredrik Jensen,€3.50m
Pep Biel,€3.00m
Mert Kömür,€2.00m
Daniel Hausmann,€100k
Rubén Vargas,€7.50m
Nathanaël Mbuku,€2.00m
Masaya Okugawa,€1.50m
Sven Michel,€700k
Ermedin Demirovic,€28.00m
Mergim Berisha,€10.00m
Phillip Tietz,€5.00m
Dion Beljo,€4.00m
Irvin Cardona,€2.50m
Koen Casteels,€6.00m
Pavao Pervan,€300k
Philipp Schulze,€225k
Niklas Klinger,€100k
Maxence Lacroix,€20.00m
Moritz Jenz,€7.50m
Sebastiaan Bornauw,€7.00m
Cédric Zesiger,€5.00m
Anders Børset,€150k
Felix Lange,€75k
Rogério,€5.00m
Nicolas Cozza,€3.50m
Joakim Maehle,€14.00m
Ridle Baku,€7.00m
Kilian Fischer,€1.50m
Kofi Amoako,€400k
Aster Vranckx,€12.00m
Mattias Svanberg,€12.00m
Maximilian Arnold,€7.00m
Yannick Gerhardt,€4.00m
Kevin Paredes,€7.50m
Lovro Majer,€20.00m
Bennit Bröger,-
Jakub Kaminski,€6.00m
Ulysses Llanez,€200k
Patrick Wimmer,€15.00m
Vaclav Cerny,€7.00m
Jonas Wind,€20.00m
Tiago Tomás,€6.00m
Lukas Nmecha,€5.00m
Amin Sarr,€4.00m
Kevin Behrens,€2.00m
Dzenan Pejcinovic,€1.00m
Robin Zentner,€3.00m
Daniel Batz,€350k
Lasse Rieß,€200k
Sepp van den Berg,€12.00m
Andreas Hanche-Olsen,€9.00m
Maxim Leitsch,€1.50m
Stefan Bell,€800k
Lasse Wilhelm,€225k
Maxim Dal,-
Phillipp Mwene,€1.80m
Tim Müller,€150k
Silvan Widmer,€3.00m
Danny da Costa,€1.20m
Edimilson Fernandes,€3.50m
Dominik Kohr,€3.00m
Josuha Guilavogui,€700k
Leandro Barreiro,€17.00m
Anton Stach,€15.00m
Nadiem Amiri,€7.00m
Tom Krauß,€4.00m
Merveille Papela,€1.00m
Anthony Caci,€7.00m
Jae-sung Lee,€2.50m
Marco Richter,€2.00m
Aymen Barkok,€1.00m
Brajan Gruda,€20.00m
Anwar El Ghazi,€2.50m
David Mamutovic,€250k
Jonathan Burkardt,€12.00m
Nelson Weiper,€5.00m
Ludovic Ajorque,€3.00m
Karim Onisiwo,€1.50m
Jessic Ngankam,€1.50m
Marcus Müller,€200k
Jonas Omlin,€6.00m
Moritz Nicolas,€2.50m
Jan Olschowsky,€600k
Tobias Sippel,€300k
Maximilian Brüll,€75k
Ko Itakura,€12.00m
Nico Elvedi,€10.00m
Maximilian Wöber,€10.00m
Marvin Friedrich,€3.50m
Fabio Chiarodia,€2.00m
Mamadou Doucouré,€100k
Luca Netz,€10.00m
Lukas Ullrich,€750k
Joe Scally,€10.00m
Stefan Lainer,€2.50m
Simon Walde,€500k
Tony Jantschke,€400k
Julian Weigl,€6.00m
Christoph Kramer,€1.70m
Manu Koné,€20.00m
Rocco Reitz,€10.00m
Florian Neuhaus,€7.00m
Robin Hack,€8.00m
Yvandro Borges Sanches,€1.00m
Franck Honorat,€12.00m
Nathan Ngoumou,€5.00m
Hannes Wolf,€2.00m
Patrick Herrmann,€1.00m
Tomas Cvancara,€8.00m
Alassane Pléa,€7.00m
Jordan,€4.00m
Grant-Leon Ranos,€1.00m
Shio Fukuda,€300k
Frederik Rönnow,€4.50m
Alexander Schwolow,€700k
Jakob Busk,€250k
Yannic Stein,€200k
Danilho Doekhi,€17.00m
Diogo Leite,€15.00m
Robin Knoche,€2.50m
Kevin Vogt,€2.00m
Paul Jaeckel,€2.00m
Leonardo Bonucci,€1.00m
Oluwaseun Ogbemudia,-
Robin Gosens,€12.00m
Jérôme Roussillon,€2.50m
Josip Juranovic,€7.50m
Christopher Trimmel,€600k
Lucas Tousart,€7.00m
Rani Khedira,€5.00m
Aljoscha Kemlein,€3.00m
Aïssa Laïdouni,€6.00m
András Schäfer,€5.00m
Alex Král,€5.00m
Janik Haberer,€3.00m
Tim Schleinitz,-
Brenden Aaronson,€12.00m
Milos Pantovic,€800k
Sheraldo Becker,€10.00m
Laurenz Dehl,€200k
David Datro Fofana,€12.00m
Yorbe Vertessen,€5.00m
Jordan,€4.00m
Kevin Volland,€4.00m
Benedict Hollerbach,€4.00m
Mikkel Kaufmann,€2.70m
Chris Bedia,€2.50m
Kevin Behrens,€2.00m
Manuel Riemann,€600k
Niclas Thiede,€350k
Andreas Luthe,€300k
Michael Esser,€300k
Hugo Rölleke,-
Keven Schlotterbeck,€6.00m
Erhan Masovic,€5.00m
Tim Oermann,€4.00m
Ivan Ordets,€2.50m
Noah Loosli,€800k
Mohammed Tolba,€200k
Bernardo,€5.50m
Maximilian Wittek,€2.00m
Danilo Soares,€700k
Moritz Römling,€150k
Felix Passlack,€1.80m
Cristian Gamboa,€500k
Jordi Osei-Tutu,€500k
Anthony Losilla,€500k
Patrick Osterhage,€7.00m
Matus Bero,€3.50m
Agon Elezi,€800k
Mats Pannewig,€125k
Kevin Stöger,€5.00m
Philipp Förster,€1.80m
Lukas Daschner,€1.20m
Moritz-Broni Kwarteng,€1.20m
Christopher Antwi-Adjei,€1.20m
Takuma Asano,€4.00m
Moritz Broschinski,€3.00m
Philipp Hofmann,€1.80m
Gonçalo Paciência,€1.50m
Simon Zoller,€350k
Lys Mousset,€350k
Marvin Schwäbe,€4.00m
Philipp Pentke,€300k
Jonas Nickisch,€200k
Matthias Köbbing,€100k
Jeff Chabot,€9.00m
