
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
41,Lorenz Assignon,2023-2024,23,tg TOG,Burnley,eng Premier League,15,1234,13.7,15,0,0,1,2,3,1,0,0,0,DF,b026bbf6
42,Bigo Atom,2023-2024,18,de GER,Brighton,eng Premier League,0,,,0,0,1,,,,,,,,DF,966f64a3
43,Serge Aurier,2023-2024,30,ci CIV,Nott'ham Forest,eng Premier League,12,833,9.3,10,2,1,0,2,2,0,0,0,0,DFMF,5c2b4f07
44,Brandon Austin,2023-2024,24,eng ENG,Tottenham,eng Premier League,0,,,0,0,18,,,,,,,,GK,5e253986
45,Taiwo Awoniyi,2023-2024,25,ng NGA,Nott'ham Forest,eng Premier League,20,1042,11.6,12,8,0,6,3,9,6,0,0,0,FW,e5478b87
46,Jordan Ayew,2023-2024,31,gh GHA,Crystal Palace,eng Premier League,35,2543,28.3,30,5,1,4,7,11,4,0,0,0,FWMF,da052c14
47,Benoît Badiashile,2023-2024,22,fr FRA,Chelsea,eng Premier League,18,1338,14.9,15,3,7,0,1,1,0,0,0,0,DF,06df8256
48,Leon Bailey,2023-2024,25,jm JAM,Aston Villa,eng Premier League,35,2068,23.0,22,13,1,10,9,19,10,0,0,0,MFFW,3a233281
49,Stefan Bajcetic,2023-2024,18,es ESP,Liverpool,eng Premier League,1,26,0.3,0,1,6,0,0,0,0,0,0,0,MF,32e8417f
50,Ellery Balcombe,2023-2024,23,eng ENG,Brentford,eng Premier League,0,,,0,0,3,,,,,,,,GK,e827567f
51,George Baldock,2023-2024,30,gr GRE,Sheffield Utd,eng Premier League,13,969,10.8,11,2,1,0,1,1,0,0,0,0,DF,394854c4
52,Carlos Baleba,2023-2024,19,cm CMR,Brighton,eng Premier League,27,1325,14.7,15,12,7,0,0,0,0,0,0,0,MF,a1390d2f
53,Fodé Ballo-Touré,2023-2024,26,sn SEN,Fulham,eng Premier League,6,71,0.8,0,6,16,0,0,0,0,0,0,0,DFMF,f449640d
54,Mauro Bandeira,2023-2024,19,pt POR,Arsenal,eng Premier League,0,,,0,0,2,,,,,,,,MF,9b67eca8
55,Shandon Baptiste,2023-2024,25,gd GRN,Brentford,eng Premier League,10,229,2.5,2,8,11,1,1,2,1,0,0,0,MF,2886c9b5
56,Valentín Barco,2023-2024,19,ar ARG,Brighton,eng Premier League,6,307,3.4,3,3,4,0,0,0,0,0,0,0,DFFW,b9f282ec
57,Ross Barkley,2023-2024,29,eng ENG,Luton Town,eng Premier League,32,2618,29.1,30,2,0,5,4,9,5,0,0,0,MF,3a24769f
58,Harvey Barnes,2023-2024,25,eng ENG,Newcastle Utd,eng Premier League,21,802,8.9,7,14,0,5,3,8,5,0,0,0,FWMF,3ea50f67
59,Ty Barnett,2023-2024,18,eng ENG,Wolves,eng Premier League,0,,,0,0,6,,,,,,,,MF,c68c6838
60,Luca Barrington,2023-2024,18,eng ENG,Brighton,eng Premier League,0,,,0,0,2,,,,,,,,MF,85d7679f
61,Chris Basham,2023-2024,35,eng ENG,Sheffield Utd,eng Premier League,8,321,3.6,3,5,0,0,0,0,0,0,0,0,DFMF,1aa84968
62,Calvin Bassey,2023-2024,23,ng NGA,Fulham,eng Premier League,29,2303,25.6,25,4,4,1,0,1,1,0,0,0,DF,a36524bf
63,Altay Bayındır,2023-2024,25,tr TUR,Manchester Utd,eng Premier League,0,,,0,0,33,,,,,,,,GK,072e68ed
64,Eddie Beach,2023-2024,19,wls WAL,Chelsea,eng Premier League,0,,,0,0,2,,,,,,,,GK,7cbd6d68
65,Owen Beck,2023-2024,20,wls WAL,Liverpool,eng Premier League,1,8,0.1,0,1,0,0,0,0,0,0,0,0,DF,a011a1e9
66,Donny van de Beek,2023-2024,26,nl NED,Manchester Utd,eng Premier League,1,3,0.0,0,1,11,0,0,0,0,0,0,0,DF,50dc94ce
67,Amari'i Bell,2023-2024,29,jm JAM,Luton Town,eng Premier League,21,1720,19.1,21,0,0,0,0,0,0,0,0,0,DF,399e9474
68,Jean-Ricner Bellegarde,2023-2024,25,fr FRA,Wolves,eng Premier League,22,958,10.6,10,12,0,2,1,3,2,0,0,0,MFFW,10f0fdd3
69,Anis Ben Slimane,2023-2024,22,tn TUN,Sheffield Utd,eng Premier League,15,419,4.7,4,11,13,0,0,0,0,0,0,0,MF,9ade9ce1
70,Rhys Bennett,2023-2024,19,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,1,,,,,,,,DF,e4588897
71,Saïd Benrahma,2023-2024,27,dz ALG,West Ham,eng Premier League,13,620,6.9,5,8,7,0,1,1,0,0,1,1,FWMF,5a04fd92
72,Rodrigo Bentancur,2023-2024,26,uy URU,Tottenham,eng Premier League,23,1005,11.2,13,10,0,1,1,2,1,0,0,0,MF,3b8674e6
73,Daniel Bentley,2023-2024,30,eng ENG,Wolves,eng Premier League,5,383,4.3,3,2,33,0,0,0,0,0,0,0,GK,68db6358
74,Jóhann Berg Guðmundsson,2023-2024,32,is ISL,Burnley,eng Premier League,26,1192,13.2,12,14,5,1,3,4,1,0,0,0,MFFW,f72293fc
