
,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Season,Age,Nation,Team,Comp,MP,Min,90s,Starts,Subs,unSub,Gls,Ast,G+A,G-PK,PK,PKatt,PKm,Pos,-9999
179,Rúben Dias,2023-2024,26,pt POR,Manchester City,eng Premier League,30,2559,28.4,28,2,5,0,0,0,0,0,0,0,DF,31c69ef1
180,Luis Díaz,2023-2024,26,co COL,Liverpool,eng Premier League,37,2629,29.2,32,5,0,8,5,13,8,0,0,0,FW,4a1a9578
181,Matt Dibley-Dias,2023-2024,19,nz NZL,Fulham,eng Premier League,0,,,0,0,1,,,,,,,,MF,979cb300
182,Eric Dier,2023-2024,29,eng ENG,Tottenham,eng Premier League,4,201,2.2,1,3,8,0,0,0,0,0,0,0,DF,ac861941
183,Lucas Digne,2023-2024,30,fr FRA,Aston Villa,eng Premier League,33,2410,26.8,27,6,0,1,3,4,1,0,0,0,DF,1b84dbe1
184,Issa Diop,2023-2024,26,fr FRA,Fulham,eng Premier League,18,1424,15.8,16,2,3,0,0,0,0,0,0,0,DF,a712ca2b
185,Axel Disasi,2023-2024,25,fr FRA,Chelsea,eng Premier League,31,2579,28.7,29,2,4,2,0,2,2,0,0,0,DF,ad82197c
186,Ben Doak,2023-2024,17,sct SCO,Liverpool,eng Premier League,1,14,0.2,0,1,8,0,0,0,0,0,0,0,FW,733f1a7d
187,Lewis Dobbin,2023-2024,20,eng ENG,Everton,eng Premier League,12,232,2.6,1,11,16,1,0,1,1,0,0,0,MF,e814e1cf
188,Matt Doherty,2023-2024,31,ie IRL,Wolves,eng Premier League,30,1150,12.8,9,21,8,1,0,1,1,0,0,0,DFMF,d557d734
189,Jeremy Doku,2023-2024,21,be BEL,Manchester City,eng Premier League,29,1595,17.7,18,11,2,3,8,11,3,0,0,0,FWMF,fffea3e5
190,Nicolás Domínguez,2023-2024,25,ar ARG,Nott'ham Forest,eng Premier League,26,1495,16.6,19,7,6,2,2,4,2,0,0,0,MFFW,20b3a502
191,Jamie Donley,2023-2024,18,eng ENG,Tottenham,eng Premier League,3,3,0.0,0,3,10,0,0,0,0,0,0,0,FW,5e4d9b48
192,Alfie Dorrington,2023-2024,18,eng ENG,Tottenham,eng Premier League,0,,,0,0,10,,,,,,,,DF,ac1ef440
193,Abdoulaye Doucouré,2023-2024,30,ml MLI,Everton,eng Premier League,32,2629,29.2,32,0,0,7,1,8,7,0,0,0,FWMF,02b29014
194,Cheick Doucouré,2023-2024,23,ml MLI,Crystal Palace,eng Premier League,11,919,10.2,11,0,1,0,0,0,0,0,0,0,MF,ce4f40c7
195,Alfie Doughty,2023-2024,23,eng ENG,Luton Town,eng Premier League,37,2925,32.5,34,3,0,2,8,10,2,0,0,0,DF,bf33b257
196,Tommy Doyle,2023-2024,21,eng ENG,Wolves,eng Premier League,26,1222,13.6,11,15,6,0,0,0,0,0,0,0,MF,5526deb1
197,Radu Drăgușin,2023-2024,21,ro ROU,Tottenham,eng Premier League,9,429,4.8,4,5,9,0,0,0,0,0,0,0,DF,620922ed
198,Martin Dúbravka,2023-2024,34,sk SVK,Newcastle Utd,eng Premier League,23,1985,22.1,22,1,14,0,0,0,0,0,0,0,GK,3a949a25
199,Josh Duffus,2023-2024,18,eng ENG,Brighton,eng Premier League,0,,,0,0,1,,,,,,,,MF,6224214f
200,Paul Dummett,2023-2024,31,wls WAL,Newcastle Utd,eng Premier League,5,20,0.2,0,5,24,0,0,0,0,0,0,0,DF,3fe6bd8c
201,Lewis Dunk,2023-2024,31,eng ENG,Brighton,eng Premier League,33,2869,31.9,33,0,0,3,1,4,3,0,0,0,DF,282f75f3
202,Jhon Durán,2023-2024,19,co COL,Aston Villa,eng Premier League,23,475,5.3,3,20,5,5,0,5,5,0,0,0,FWMF,414184f7
203,Kiano Dyer,2023-2024,16,eng ENG,Chelsea,eng Premier League,0,,,0,0,4,,,,,,,,MF,b43204f6
204,George Earthy,2023-2024,18,eng ENG,West Ham,eng Premier League,3,34,0.4,0,3,6,1,0,1,1,0,0,0,FW,123d2733
205,Malcolm Ebiowei,2023-2024,19,eng ENG,Crystal Palace,eng Premier League,0,,,0,0,10,,,,,,,,MF,fa9fa773
206,Ederson,2023-2024,29,br BRA,Manchester City,eng Premier League,33,2785,30.9,33,0,2,0,0,0,0,0,0,0,GK,3bb7b8b4
207,Odsonne Édouard,2023-2024,25,fr FRA,Crystal Palace,eng Premier League,30,1555,17.3,17,13,3,7,0,7,7,0,0,0,FWMF,0562b7f1
208,John Egan,2023-2024,30,ie IRL,Sheffield Utd,eng Premier League,6,482,5.4,6,0,0,0,0,0,0,0,0,0,DF,debe38a0
209,CJ Egan-Riley,2023-2024,20,eng ENG,Burnley,eng Premier League,0,,,0,0,1,,,,,,,,DF,d313e8ff
210,Hjalmar Ekdal,2023-2024,24,se SWE,Burnley,eng Premier League,8,437,4.9,5,3,12,0,0,0,0,0,0,0,DF,3d554589
211,Anthony Elanga,2023-2024,21,se SWE,Nott'ham Forest,eng Premier League,36,2433,27.0,25,11,0,5,9,14,5,0,0,0,FWMF,2fba6108
212,Harvey Elliott,2023-2024,20,eng ENG,Liverpool,eng Premier League,34,1352,15.0,11,23,4,3,6,9,3,0,0,0,MFFW,b9e1436c
213,Mohamed Elneny,2023-2024,31,eg EGY,Arsenal,eng Premier League,3,28,0.3,0,3,13,0,0,0,0,0,0,0,MF,47a34c4f
214,Emerson,2023-2024,24,br BRA,Tottenham,eng Premier League,22,1161,12.9,11,11,16,1,0,1,1,0,0,0,DF,df8b52a5
215,Lander Emery,2023-2024,20,eng ENG,Aston Villa,eng Premier League,0,,,0,0,1,,,,,,,,GK,b5f7fd45
216,Yunus Emre Konak,2023-2024,17,tr TUR,Brentford,eng Premier League,0,,,0,0,1,,,,,,,,MF,e02b5b36
217,Julio Enciso,2023-2024,19,py PAR,Brighton,eng Premier League,12,475,5.3,5,7,1,0,2,2,0,0,0,0,MFFW,9cfbad36
218,Wataru Endo,2023-2024,30,jp JPN,Liverpool,eng Premier League,29,1722,19.1,20,9,4,1,0,1,1,0,0,0,MF,c149016b
219,Christian Eriksen,2023-2024,31,dk DEN,Manchester Utd,eng Premier League,22,1141,12.7,12,10,11,1,2,3,1,0,0,0,MF,980522ec
220,Maxime Estève,2023-2024,21,fr FRA,Burnley,eng Premier League,16,1309,14.5,15,1,0,0,0,0,0,0,0,0,DF,1a066e69
221,Pervis Estupiñán,2023-2024,25,ec ECU,Brighton,eng Premier League,19,1243,13.8,15,4,1,2,3,5,2,0,0,0,DF,d38fdf53
222,Jonny Evans,2023-2024,35,nir NIR,Manchester Utd,eng Premier League,23,1392,15.5,15,8,3,0,1,1,0,0,0,0,DF,f8fcd2a5
223,Eberechi Eze,2023-2024,25,eng ENG,Crystal Palace,eng Premier League,27,2055,22.8,24,3,0,11,4,15,10,1,1,0,MFFW,ae4fc6a4
224,Łukasz Fabiański,2023-2024,38,pl POL,West Ham,eng Premier League,10,721,8.0,7,3,27,0,0,0,0,0,0,0,GK,9328b835
225,Romain Faivre,2023-2024,25,fr FRA,Bournemouth,eng Premier League,5,41,0.5,0,5,8,0,0,0,0,0,0,0,MFFW,745ca0a3
226,Ansu Fati,2023-2024,20,es ESP,Brighton,eng Premier League,19,521,5.8,3,16,5,2,0,2,2,0,0,0,MFFW,0ba976e4
227,Felipe,2023-2024,34,br BRA,Nott'ham Forest,eng Premier League,7,375,4.2,4,3,5,0,0,0,0,0,0,0,DF,51a3c4c8
228,Evan Ferguson,2023-2024,18,ie IRL,Brighton,eng Premier League,27,1367,15.2,15,12,1,6,0,6,6,0,0,0,FW,4596da74
229,Bruno Fernandes,2023-2024,28,pt POR,Manchester Utd,eng Premier League,35,3118,34.6,35,0,0,10,8,18,6,4,5,1,MFFW,507c7bdf
230,Enzo Fernández,2023-2024,22,ar ARG,Chelsea,eng Premier League,28,2209,24.5,26,2,0,3,2,5,2,1,2,1,MF,5ff4ab71
231,John Fleck,2023-2024,31,sct SCO,Sheffield Utd,eng Premier League,4,92,1.0,1,3,5,0,0,0,0,0,0,0,MFDF,b63e789d
232,Mark Flekken,2023-2024,30,nl NED,Brentford,eng Premier League,37,3285,36.5,37,0,0,0,1,1,0,0,0,0,GK,a92ab7be
233,Phil Foden,2023-2024,23,eng ENG,Manchester City,eng Premier League,35,2857,31.7,33,2,2,19,8,27,19,0,0,0,FWMF,ed1e53f3
234,Wes Foderingham,2023-2024,32,eng ENG,Sheffield Utd,eng Premier League,30,2649,29.4,29,1,8,0,0,0,0,0,0,0,GK,96cf7b61
235,Pablo Fornals,2023-2024,27,es ESP,West Ham,eng Premier League,15,426,4.7,4,11,6,0,0,0,0,0,0,0,MFFW,82927de4
236,Omari Forson,2023-2024,19,eng ENG,Manchester Utd,eng Premier League,4,70,0.8,1,3,9,0,1,1,0,0,0,0,FW,1b9728b0
237,Fraser Forster,2023-2024,35,eng ENG,Tottenham,eng Premier League,0,,,0,0,23,,,,,,,,GK,c3e39f12
238,Lyle Foster,2023-2024,22,za RSA,Burnley,eng Premier League,24,1899,21.1,22,2,0,5,3,8,5,0,0,0,FWMF,f84a807c
239,Matheus França,2023-2024,19,br BRA,Crystal Palace,eng Premier League,10,232,2.6,1,9,9,0,1,1,0,0,0,0,MFFW,077faf72
240,Aidan Francis,2023-2024,19,eng ENG,Luton Town,eng Premier League,0,,,0,0,2,,,,,,,,DF,38c29201
241,Tyrese Francois,2023-2024,23,au AUS,Fulham,eng Premier League,0,,,0,0,5,,,,,,,,MF,6722d4f0
242,Nathan Fraser,2023-2024,18,ie IRL,Wolves,eng Premier League,7,186,2.1,1,6,13,0,0,0,0,0,0,0,FW,00b77ecf
243,Benjamin Fredrick,2023-2024,18,ng NGA,Brentford,eng Premier League,0,,,0,0,2,,,,,,,,DF,fde367e5
244,Remo Freuler,2023-2024,31,ch SUI,Nott'ham Forest,eng Premier League,0,,,0,0,3,,,,,,,,MF,98d2c2c4
245,Cody Gakpo,2023-2024,24,nl NED,Liverpool,eng Premier League,35,1649,18.3,17,18,0,8,5,13,8,0,0,0,FWMF,1971591f
246,Conor Gallagher,2023-2024,23,eng ENG,Chelsea,eng Premier League,37,3128,34.8,37,0,0,5,7,12,5,0,0,0,MF,c2731c10
247,Idrissa Gana Gueye,2023-2024,33,sn SEN,Everton,eng Premier League,25,1884,20.9,24,1,3,4,0,4,4,0,0,0,MF,72c812f3
248,Joe Gardner,2023-2024,18,eng ENG,Nott'ham Forest,eng Premier League,0,,,0,0,2,,,,,,,,DF,f4c17979
249,Alejandro Garnacho,2023-2024,19,ar ARG,Manchester Utd,eng Premier League,36,2565,28.5,30,6,2,7,4,11,7,0,0,0,FW,7aa8adfe
250,James Garner,2023-2024,22,eng ENG,Everton,eng Premier League,37,3004,33.4,34,3,0,1,2,3,1,0,0,0,MF,4e015693
251,Joe Gauci,2023-2024,23,au AUS,Aston Villa,eng Premier League,0,,,0,0,5,,,,,,,,GK,5600c774
252,Tyrique George,2023-2024,17,eng ENG,Chelsea,eng Premier League,0,,,0,0,3,,,,,,,,FW,e6f7797e
253,Saman Ghoddos,2023-2024,29,ir IRN,Brentford,eng Premier League,19,739,8.2,7,12,13,1,0,1,1,0,0,0,DF,f7b1d4e0
254,Morgan Gibbs-White,2023-2024,23,eng ENG,Nott'ham Forest,eng Premier League,37,3156,35.1,35,2,0,5,10,15,4,1,1,0,MFFW,32f60ed8
255,Bryan Gil,2023-2024,22,es ESP,Tottenham,eng Premier League,11,209,2.3,2,9,13,0,0,0,0,0,0,0,FWMF,7b5ab7f2
256,Alfie Gilchrist,2023-2024,19,eng ENG,Chelsea,eng Premier League,11,207,2.3,2,9,14,1,0,1,1,0,0,0,DF,d91f104d
257,Mark Gillespie,2023-2024,31,eng ENG,Newcastle Utd,eng Premier League,0,,,0,0,12,,,,,,,,GK,e32958b7
258,Billy Gilmour,2023-2024,22,sct SCO,Brighton,eng Premier League,30,2120,23.6,24,6,1,0,1,1,0,0,0,0,MF,df10e27c
259,Ben Godfrey,2023-2024,25,eng ENG,Everton,eng Premier League,15,1120,12.4,13,2,23,0,0,0,0,0,0,0,DF,9f7c837d
260,André Gomes,2023-2024,30,pt POR,Everton,eng Premier League,12,508,5.6,3,9,4,1,0,1,1,0,0,0,MFFW,1961b2aa
261,João Gomes,2023-2024,22,br BRA,Wolves,eng Premier League,34,2649,29.4,32,2,1,2,1,3,2,0,0,0,MF,8b57ad2c
262,Toti Gomes,2023-2024,24,pt POR,Wolves,eng Premier League,35,2772,30.8,31,4,3,1,3,4,1,0,0,0,DF,f0caab96
263,Joe Gomez,2023-2024,26,eng ENG,Liverpool,eng Premier League,32,1786,19.8,17,15,4,0,1,1,0,0,0,0,DF,7a11550b
264,Sergio Gómez,2023-2024,22,es ESP,Manchester City,eng Premier League,6,53,0.6,0,6,26,0,1,1,0,0,0,0,FWMF,01e5f06e
265,Enso Gonzalez,2023-2024,18,py PAR,Wolves,eng Premier League,1,1,0.0,0,1,4,0,0,0,0,0,0,0,MFDF,7e5bebeb
266,Charlie Goode,2023-2024,27,eng ENG,Brentford,eng Premier League,0,,,0,0,5,,,,,,,,DF,7aee4dd3
267,Anthony Gordon,2023-2024,22,eng ENG,Newcastle Utd,eng Premier League,35,2890,32.1,34,1,0,11,10,21,10,1,1,0,FW,2bd83368
268,John-Kymani Gordon,2023-2024,20,eng ENG,Crystal Palace,eng Premier League,0,,,0,0,3,,,,,,,,FWMF,d7e24aa1
269,Kaide Gordon,2023-2024,18,eng ENG,Liverpool,eng Premier League,1,1,0.0,0,1,1,0,0,0,0,0,0,0,FW,19a9cb70
270,Daniel Gore,2023-2024,18,eng ENG,Manchester Utd,eng Premier League,1,1,0.0,0,1,6,0,0,0,0,0,0,0,MF,861e9b3b
271,Ryan Gravenberch,2023-2024,21,nl NED,Liverpool,eng Premier League,26,1121,12.5,12,14,5,1,0,1,1,0,0,0,MF,b8e740fb
272,Ivo Grbić,2023-2024,27,hr CRO,Sheffield Utd,eng Premier League,9,771,8.6,9,0,5,0,0,0,0,0,0,0,GK,3f034750
273,Jack Grealish,2023-2024,27,eng ENG,Manchester City,eng Premier League,20,1009,11.2,10,10,9,3,1,4,3,0,0,0,FWMF,b0b4fd3e
274,Ben Greenwood,2023-2024,20,ie IRL,Bournemouth,eng Premier League,0,,,0,0,4,,,,,,,,DF,7eda24fe
275,Harvey Griffiths,2023-2024,19,eng ENG,Wolves,eng Premier League,0,,,0,0,2,,,,,,,,MF,6e4cb264
276,Pascal Groß,2023-2024,32,de GER,Brighton,eng Premier League,36,3114,34.6,34,2,0,4,10,14,3,1,1,0,MFDF,8aec0537
277,Marc Guéhi,2023-2024,23,eng ENG,Crystal Palace,eng Premier League,25,2021,22.5,23,2,0,0,1,1,0,0,0,0,DF,d0706b27
278,Bruno Guimarães,2023-2024,25,br BRA,Newcastle Utd,eng Premier League,37,3263,36.3,37,0,0,7,8,15,7,0,0,0,MF,82518f62
279,Malo Gusto,2023-2024,20,fr FRA,Chelsea,eng Premier League,27,1751,19.5,19,8,1,0,6,6,0,0,0,0,DF,d56b9520
280,Joško Gvardiol,2023-2024,21,hr CRO,Manchester City,eng Premier League,28,2328,25.9,26,2,7,4,1,5,4,0,0,0,DF,5ad50391
281,Erling Haaland,2023-2024,23,no NOR,Manchester City,eng Premier League,31,2552,28.4,29,2,1,27,5,32,20,7,8,1,FW,1f44ac21
282,Antwoine Hackford,2023-2024,19,eng ENG,Sheffield Utd,eng Premier League,2,13,0.1,0,2,0,0,0,0,0,0,0,0,FW,a7588cdc
283,Lewis Hall,2023-2024,18,eng ENG,Newcastle Utd,eng Premier League,18,781,8.7,8,10,15,1,0,1,1,0,0,0,DF,da011f18
284,Tyrese Hall,2023-2024,17,eng ENG,Tottenham,eng Premier League,0,,,0,0,1,,,,,,,,MF,f2e48542
285,Gustavo Hamer,2023-2024,26,nl NED,Sheffield Utd,eng Premier League,36,2910,32.3,34,2,0,4,6,10,4,0,0,0,MF,eebacc07
286,Micah Hamilton,2023-2024,19,eng ENG,Manchester City,eng Premier League,0,,,0,0,2,,,,,,,,MF,0b059e15
287,Owen Hampson,2023-2024,18,eng ENG,Sheffield Utd,eng Premier League,0,,,0,0,1,,,,,,,,MF,081b8cac
288,Luke Harris,2023-2024,18,wls WAL,Fulham,eng Premier League,1,75,0.8,0,1,4,0,0,0,0,0,0,0,MF,8c3078cd
289,Taylan Harris,2023-2024,17,eng ENG,Luton Town,eng Premier League,0,,,0,0,1,,,,,,,,FW,96630213
290,Jack Harrison,2023-2024,26,eng ENG,Everton,eng Premier League,29,2214,24.6,25,4,1,3,3,6,3,0,0,0,MFFW,aa849a12
291,Ollie Harrison,2023-2024,15,eng ENG,Chelsea,eng Premier League,0,,,0,0,1,,,,,,,,MF,6ce635b6
292,Daiki Hashioka,2023-2024,24,jp JPN,Luton Town,eng Premier League,10,595,6.6,6,4,3,0,0,0,0,0,0,0,DF,10cb48b7
293,Kai Havertz,2023-2024,24,de GER,Arsenal,eng Premier League,37,2634,29.3,30,7,0,13,7,20,12,1,1,0,MFFW,fed7cb61
294,Travis Hearnes,2023-2024,17,no NOR,Newcastle Utd,eng Premier League,0,,,0,0,1,,,,,,,,MF,849e071e
295,Tom Heaton,2023-2024,37,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,4,,,,,,,,GK,a6de6361
296,Jan Paul van Hecke,2023-2024,23,nl NED,Brighton,eng Premier League,28,2369,26.3,26,2,4,0,0,0,0,0,0,0,DF,4fd08daa
297,Hwang Hee-chan,2023-2024,27,kr KOR,Wolves,eng Premier League,29,2119,23.5,25,4,0,12,3,15,11,1,1,0,FWMF,169fd162
298,Dean Henderson,2023-2024,26,eng ENG,2 Teams,eng Premier League,18,1620,18.0,18,0,10,0,0,0,0,0,0,0,GK,e5a76dfe
299,Wayne Hennessey,2023-2024,36,wls WAL,Nott'ham Forest,eng Premier League,0,,,0,0,1,,,,,,,,GK,76eca7e2
300,Rico Henry,2023-2024,26,eng ENG,Brentford,eng Premier League,5,401,4.5,5,0,0,0,1,1,0,0,0,0,DF,8a3c1dc7
301,Owen Hesketh,2023-2024,20,wls WAL,Wolves,eng Premier League,0,,,0,0,1,,,,,,,,MF,3f991cbb
302,Son Heung-min,2023-2024,31,kr KOR,Tottenham,eng Premier League,35,2934,32.6,34,1,0,17,10,27,15,2,2,0,FW,92e7e919
303,Aaron Hickey,2023-2024,21,sct SCO,Brentford,eng Premier League,9,713,7.9,9,0,0,0,0,0,0,0,0,0,DF,1780bb4a
304,James Hill,2023-2024,21,eng ENG,Bournemouth,eng Premier League,5,76,0.8,1,4,10,0,0,0,0,0,0,0,DF,69942fb3
305,Jack Hinshelwood,2023-2024,18,eng ENG,Brighton,eng Premier League,12,869,9.7,8,4,4,3,0,3,3,0,0,0,DF,e98211e7
306,Joseph Hodge,2023-2024,20,ie IRL,Wolves,eng Premier League,0,,,0,0,9,,,,,,,,MF,bd8a5d95
307,Rob Holding,2023-2024,27,eng ENG,Crystal Palace,eng Premier League,0,,,0,0,10,,,,,,,,DF,d79a8c87
308,Mason Holgate,2023-2024,26,eng ENG,Sheffield Utd,eng Premier League,10,710,7.9,9,1,2,0,0,0,0,0,0,0,DF,d0042ab9
309,Fletcher Holman,2023-2024,18,eng ENG,Wolves,eng Premier League,0,,,0,0,3,,,,,,,,FW,de40b95a
310,Ethan Horvath,2023-2024,28,us USA,Nott'ham Forest,eng Premier League,0,,,0,0,4,,,,,,,,GK,3f65d5ce
311,Pierre Højbjerg,2023-2024,27,dk DEN,Tottenham,eng Premier League,36,1311,14.6,8,28,2,0,0,0,0,0,0,0,MF,8b04d6c1
312,Rasmus Højlund,2023-2024,20,dk DEN,Manchester Utd,eng Premier League,30,2158,24.0,25,5,0,10,2,12,10,0,0,0,FW,491a433d
313,Justin Hubner,2023-2024,19,id IDN,Wolves,eng Premier League,0,,,0,0,1,,,,,,,,DF,f233ed69
314,Callum Hudson-Odoi,2023-2024,22,eng ENG,Nott'ham Forest,eng Premier League,29,1854,20.6,20,9,1,8,1,9,8,0,0,0,FWMF,15f3ec41
315,Will Hughes,2023-2024,28,eng ENG,Crystal Palace,eng Premier League,30,1891,21.0,23,7,1,0,1,1,0,0,0,0,MF,a0666d3e
316,Joe Hugill,2023-2024,19,eng ENG,Manchester Utd,eng Premier League,0,,,0,0,1,,,,,,,,FW,49134eb2
317,Bashir Humphreys,2023-2024,20,eng ENG,Chelsea,eng Premier League,0,,,0,0,2,,,,,,,,DF,d2b32e91
318,Mackenzie Hunt,2023-2024,21,ae UAE,Everton,eng Premier League,0,,,0,0,17,,,,,,,,DF,a7a688d7
319,Bradley Ibrahim,2023-2024,18,eng ENG,Arsenal,eng Premier League,0,,,0,0,1,,,,,,,,MF,aaab4602
320,Igor,2023-2024,25,br BRA,Brighton,eng Premier League,24,1637,18.2,17,7,10,0,0,0,0,0,0,0,DF,a4e85758
321,Danny Ings,2023-2024,31,eng ENG,West Ham,eng Premier League,20,404,4.5,3,17,18,1,0,1,1,0,0,0,FW,07802f7f
322,Tim Iroegbunam,2023-2024,20,eng ENG,Aston Villa,eng Premier League,9,164,1.8,1,8,16,0,0,0,0,0,0,0,MF,84c5ceea
323,Alexander Isak,2023-2024,23,se SWE,Newcastle Utd,eng Premier League,30,2255,25.1,27,3,1,21,2,23,16,5,6,1,FW,8e92be30
324,Alex Iwobi,2023-2024,27,ng NGA,2 Teams,eng Premier League,32,2332,25.9,27,5,0,5,2,7,5,0,0,0,MF,6ca5ec4b
325,Ben Jackson,2023-2024,19,eng ENG,Brighton,eng Premier League,0,,,0,0,1,,,,,,,,DF,0cd9c796
326,Louis Jackson,2023-2024,17,sct SCO,Manchester Utd,eng Premier League,0,,,0,0,3,,,,,,,,DF,06a441c4
327,Nicolas Jackson,2023-2024,22,sn SEN,Chelsea,eng Premier League,35,2799,31.1,31,4,0,14,5,19,14,0,0,0,FW,9c36ed83
328,Karl Jakob Hein,2023-2024,21,ee EST,Arsenal,eng Premier League,0,,,0,0,5,,,,,,,,GK,aa81d8f8
329,Reece James,2023-2024,23,eng ENG,Chelsea,eng Premier League,10,419,4.7,5,5,0,0,2,2,0,0,0,0,DF,1265a93a
330,Vitaly Janelt,2023-2024,25,de GER,Brentford,eng Premier League,38,3054,33.9,37,1,0,1,3,4,1,0,0,0,MFDF,8449d35e
331,Daniel Jebbison,2023-2024,19,eng ENG,Sheffield Utd,eng Premier League,1,21,0.2,0,1,0,0,0,0,0,0,0,0,FW,03edb878
332,Mathias Jensen,2023-2024,27,dk DEN,Brentford,eng Premier League,32,2204,24.5,27,5,0,3,3,6,3,0,0,0,MF,0f134faf
333,Gabriel Jesus,2023-2024,26,br BRA,Arsenal,eng Premier League,27,1478,16.4,17,10,3,4,5,9,4,0,0,0,FW,b66315ae
334,Raúl Jiménez,2023-2024,32,mx MEX,Fulham,eng Premier League,24,1395,15.5,18,6,5,7,0,7,7,0,0,0,FW,b561db50
335,Kim Jisoo,2023-2024,18,kr KOR,Brentford,eng Premier League,0,,,0,0,8,,,,,,,,DF,f4065d9e
336,João Pedro,2023-2024,21,br BRA,Brighton,eng Premier League,31,2045,22.7,19,12,0,9,3,12,5,4,5,1,FWMF,e8832875
337,Joelinton,2023-2024,26,br BRA,Newcastle Utd,eng Premier League,20,1279,14.2,15,5,0,2,1,3,2,0,0,0,MFFW,c17bfb65
338,Ryan John Giles,2023-2024,23,eng ENG,Luton Town,eng Premier League,11,503,5.6,5,6,9,0,0,0,0,0,0,0,DFMF,73b1d65b
339,Ben Johnson,2023-2024,23,eng ENG,West Ham,eng Premier League,14,544,6.0,4,10,11,0,0,0,0,0,0,0,DFFW,9319781b
340,Brennan Johnson,2023-2024,22,wls WAL,2 Teams,eng Premier League,35,2322,25.8,26,9,0,5,10,15,5,0,0,0,FW,0cd31129
341,Joseph Johnson,2023-2024,17,eng ENG,Luton Town,eng Premier League,2,77,0.9,0,2,17,0,0,0,0,0,0,0,DF,d9e7c4da
342,Sam Johnstone,2023-2024,30,eng ENG,Crystal Palace,eng Premier League,20,1796,20.0,20,0,4,0,0,0,0,0,0,0,GK,9e5708be
343,Curtis Jones,2023-2024,22,eng ENG,Liverpool,eng Premier League,23,1167,13.0,14,9,4,1,1,2,1,0,0,0,MF,4fb9c88f
344,Jorginho,2023-2024,31,it ITA,Arsenal,eng Premier League,24,921,10.2,10,14,13,0,2,2,0,0,0,0,MF,45db685d
345,Diogo Jota,2023-2024,26,pt POR,Liverpool,eng Premier League,21,1145,12.7,14,7,1,10,3,13,10,0,0,0,FW,178ae8f8
346,Mathias Jørgensen,2023-2024,33,dk DEN,Brentford,eng Premier League,14,1087,12.1,12,2,23,1,0,1,1,0,0,0,DF,0db5d2c8
347,Mads Juel Andersen,2023-2024,25,dk DEN,Luton Town,eng Premier League,8,400,4.4,4,4,4,1,0,1,1,0,0,0,DF,f098c03e
348,Hamed Junior Traorè,2023-2024,23,ci CIV,Bournemouth,eng Premier League,3,47,0.5,0,3,7,0,0,0,0,0,0,0,MF,570bb4b9
349,Issa Kaboré,2023-2024,22,bf BFA,Luton Town,eng Premier League,24,1729,19.2,21,3,4,0,2,2,0,0,0,0,DF,c066d1a5
350,Sasa Kalajdzic,2023-2024,26,at AUT,Wolves,eng Premier League,11,166,1.8,1,10,9,2,0,2,2,0,0,0,FW,15f24fe7
351,Boubacar Kamara,2023-2024,23,fr FRA,Aston Villa,eng Premier League,20,1652,18.4,20,0,0,0,1,1,0,0,0,0,MF,cc77354e
352,Willy Kambwala,2023-2024,18,fr FRA,Manchester Utd,eng Premier League,8,330,3.7,3,5,8,0,0,0,0,0,0,0,DF,6a7353d7
353,Thomas Kaminski,2023-2024,30,be BEL,Luton Town,eng Premier League,38,3405,37.8,38,0,0,0,0,0,0,0,0,0,GK,1caa93a5
354,Loris Karius,2023-2024,30,de GER,Newcastle Utd,eng Premier League,1,90,1.0,1,0,21,0,0,0,0,0,0,0,GK,32e7ce92
355,Leigh Kavanagh,2023-2024,19,ie IRL,Brighton,eng Premier League,0,,,0,0,4,,,,,,,,DF,e16986b1
356,Michael Keane,2023-2024,30,eng ENG,Everton,eng Premier League,9,439,4.9,4,5,26,1,0,1,1,0,0,0,DF,c5b7c315
357,Thilo Kehrer,2023-2024,26,de GER,West Ham,eng Premier League,4,22,0.2,0,4,14,0,0,0,0,0,0,0,DFMF,51dbeea9
358,Caoimhín Kelleher,2023-2024,24,ie IRL,Liverpool,eng Premier League,10,900,10.0,10,0,27,0,0,0,0,0,0,0,GK,62d7ef38
359,Lloyd Kelly,2023-2024,24,eng ENG,Bournemouth,eng Premier League,23,1559,17.3,17,6,0,0,1,1,0,0,0,0,DF,f31def1e
360,Omari Kellyman,2023-2024,17,eng ENG,Aston Villa,eng Premier League,2,37,0.4,0,2,10,0,0,0,0,0,0,0,FW,aa888da7
361,Milos Kerkez,2023-2024,19,hu HUN,Bournemouth,eng Premier League,28,1970,21.9,22,6,3,0,1,1,0,0,0,0,DF,0ad53bdc
362,Kaine Kesler-Hayden,2023-2024,20,eng ENG,Aston Villa,eng Premier League,3,6,0.1,0,3,14,0,0,0,0,0,0,0,MFDF,9b066938
363,Gavin Kilkenny,2023-2024,23,ie IRL,Bournemouth,eng Premier League,0,,,0,0,7,,,,,,,,MF,3eeda7dd
364,Max Kilman,2023-2024,26,eng ENG,Wolves,eng Premier League,38,3420,38.0,38,0,0,2,0,2,2,0,0,0,DF,d0f72bf1
365,Joshua King,2023-2024,16,eng ENG,Fulham,eng Premier League,0,,,0,0,2,,,,,,,,MF,86109b3b
366,Tom King,2023-2024,28,wls WAL,Wolves,eng Premier League,0,,,0,0,4,,,,,,,,GK,5791b997
