"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Marcel Sabitzer",2e+07,29,25,8,1961,4,3,"MF"
"Ole Pohlmann",1500000,22,16,8,54,0,0,"MF"
"Julian Brandt",4e+07,27,16,8,2223,7,11,"FWMF"
"Marco Reus",5e+06,34,16,8,1601,6,8,"FWMF"
"Jadon Sancho",3e+07,23,5,8,947,2,2,"FWMF"
"Karim Adeyemi",2.8e+07,21,16,8,913,3,1,"FWMF"
"Jamie Gittens",2.8e+07,18,5,8,1058,1,4,"FWMF"
"Julien Duranville",8500000,17,3,8,12,0,0,"FWMF"
"Thorgan Hazard",5e+06,30,3,8,7,0,0,"DF"
"Donyell Malen",4e+07,24,7,8,1781,13,1,"FWMF"
"Samuel Bamba",8e+05,19,16,8,47,0,0,"FW"
"Youssoufa Moukoko",2.2e+07,18,16,8,625,5,0,"FW"
"Sébastien Haller",1e+07,29,37,8,396,0,1,"FW"
"Willian Pacho",3.5e+07,21,30,65,2970,0,3,"DF"
"Robin Koch",1.8e+07,27,16,65,2738,2,0,"DF"
"Tuta",1.2e+07,24,4,65,2600,1,2,"DF"
"Nnamdi Collins",1e+06,19,16,65,90,0,0,"DF"
"Niels Nkounkou",7500000,22,2,65,1309,3,2,"MFDF"
"Philipp Max",2e+06,29,16,65,1350,1,2,"DF"
"Aurélio Buta",5e+06,26,6,65,1744,1,1,"MFDF"
"Elias Baum",1e+06,17,16,65,28,0,0,"MFDF"
"Timothy Chandler",5e+05,33,11,65,18,0,1,"MFDF"
"Ellyes Skhiri",1.1e+07,28,41,65,2168,2,2,"MF"
"Makoto Hasebe",5e+05,39,17,65,218,0,0,"MFDF"
"Hugo Larsson",2.8e+07,19,28,65,1886,2,1,"MF"
"Donny van de Beek",5e+06,26,7,65,357,0,0,"FWMF"
"Sebastian Rode",1e+06,32,16,65,61,0,0,"MF"
"Junior Dina Ebimbe",1.2e+07,22,2,65,1956,5,3,"MFDF"
"Mario Götze",5500000,31,16,65,2068,3,2,"MF"
"Paxten Aaronson",4500000,19,11,65,101,0,1,"MF"
"Jens Petter Hauge",2500000,23,46,65,147,0,0,"FWMF"
"Jesper Lindstrøm",2.2e+07,23,21,65,83,0,0,"FW"
"Ansgar Knauff",1e+07,21,16,65,2109,7,2,"MFDF"
"Randal Kolo Muani",4.5e+07,24,2,65,153,1,0,"FW"
"Omar Marmoush",2.2e+07,24,36,65,2301,12,6,"FWMF"
"Sasa Kalajdzic",5e+06,26,25,65,325,0,1,"FW"
"Nacho Ferri",2e+06,18,8,65,74,1,0,"FWMF"
"Ozan Kabak",1e+07,23,42,93,2282,4,0,"DF"
"Kevin Akpoguma",3e+06,28,38,93,1097,0,0,"DF"
"Tim Drexler",2500000,18,16,93,573,0,0,"DF"
"John Brooks",2e+06,30,11,93,1539,2,0,"DF"
"David Jurásek",8e+06,22,34,93,496,0,1,"DF"
"Florian Grillitsch",6500000,27,25,93,2295,1,6,"MFDF"
"Grischa Prömel",7e+06,28,16,93,2139,4,5,"MF"
"Umut Tohumcu",7e+06,18,16,93,1011,0,2,"MF"
"Tom Bischof",3500000,18,16,93,178,0,2,"FWMF"
"Dennis Geiger",3e+06,25,16,93,64,0,0,"MF"
"Finn Ole Becker",2500000,23,16,93,606,0,0,"MF"
"Robert Skov",5e+06,27,21,93,1260,3,4,"FWDF"
"Marius Bülter",2500000,30,16,93,1351,1,4,"FWDF"
"Bambasé Conté",7e+05,20,16,93,48,0,0,"FWMF"
"Maximilian Beier",3e+07,20,16,93,2420,16,1,"FWMF"
"Wout Weghorst",6e+06,30,7,93,1977,7,3,"FW"
"Ihlas Bebou",4e+06,29,120,93,1636,7,5,"FWDF"
"Benedikt Gimber",2800000,26,16,117,2021,1,1,"DF"
"Patrick Mainka",2500000,28,16,117,3060,2,0,"DF"
