"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Juanlu Sánchez",1.5e+07,19,8,111,1181,0,2,"DF"
"Jesús Navas",2500000,37,8,111,2003,0,2,"DF"
"Boubakary Soumaré",1.4e+07,24,2,111,2286,0,1,"MF"
"Nemanja Gudelj",3500000,31,32,111,1742,1,1,"MFDF"
"Fernando",2e+06,36,4,111,459,0,0,"MF"
"Djibril Sow",9e+06,26,19,111,1460,1,1,"MF"
"Óliver Torres",6e+06,28,8,111,1616,0,1,"MF"
"Joan Jordán",3500000,29,8,111,380,0,0,"MF"
"Manu Bueno",3e+05,19,8,111,117,0,0,"MF"
"Lucas Ocampos",9e+06,29,1,111,2871,4,3,"FWMF"
"Suso",4e+06,29,8,111,1517,1,4,"FWMF"
"Jesús Corona",3500000,30,15,111,17,0,0,"MFDF"
"Adnan Januzaj",2e+06,28,3,111,193,0,0,"FWMF"
"Youssef En-Nesyri",2e+07,26,12,111,2570,16,2,"FW"
"Isaac Romero",1.8e+07,23,8,111,1039,4,4,"FW"
"Rafa Mir",2500000,26,8,111,391,2,0,"FWMF"
"David García",1e+07,29,8,126,2334,0,1,"DF"
"Jorge Herrando",6e+06,22,8,126,1644,0,1,"DF"
"Unai García",1200000,31,8,126,560,1,0,"DF"
"Johan Mojica",2200000,30,12,126,2041,0,3,"DF"
"Jesús Areso",7500000,24,8,126,2660,1,6,"DF"
"Rubén Peña",2200000,32,8,126,2088,0,2,"FWDF"
"Iker Muñoz",5e+06,20,8,126,1854,4,0,"MF"
"Lucas Torró",4e+06,29,8,126,1788,1,0,"MF"
"Jon Moncayola",7e+06,25,8,126,1800,1,3,"MF"
"Pablo Ibáñez",2500000,24,8,126,1152,1,2,"MF"
"Aimar Oroz",1.5e+07,21,8,126,2339,2,1,"MF"
"Asier Osambela",5e+05,19,8,126,9,0,0,"MF"
"Moi Gómez",3500000,29,8,126,2006,3,0,"FWMF"
"Rubén García",2500000,30,8,126,1547,3,2,"FWMF"
"Kike Barja",2e+06,26,8,126,303,0,0,"FWMF"
"Iñigo Arguibide",150000,18,8,126,17,0,0,"DF"
"Ante Budimir",5e+06,32,9,126,2435,17,2,"FW"
"Robin Le Normand",4e+07,26,8,42,2469,2,0,"DF"
"Igor Zubeldia",2.2e+07,26,8,42,2518,0,2,"DF"
"Jon Pacheco",1.5e+07,22,8,42,1526,1,1,"DF"
"Aritz Elustondo",5e+06,29,8,42,812,0,1,"DF"
"Kieran Tierney",1.2e+07,26,39,42,1238,0,2,"DF"
"Aihen Muñoz",8e+06,25,8,42,1127,0,2,"DF"
"Hamari Traoré",6e+06,31,50,42,2292,0,2,"DF"
"Jon Aramburu",2500000,21,54,42,543,0,0,"DF"
"Martín Zubimendi",5e+07,24,8,42,2654,4,1,"MF"
"Mikel Merino",5e+07,27,8,42,2482,5,3,"MF"
"Beñat Turrientes",2e+07,21,8,42,1687,0,1,"MF"
"Brais Méndez",4e+07,26,8,42,2413,5,6,"FWMF"
"Arsen Zakharyan",1.8e+07,20,33,42,1228,1,2,"FWMF"
"Ander Barrenetxea",2e+07,21,8,42,1427,4,1,"FWMF"
"Sheraldo Becker",1e+07,28,141,42,771,2,2,"FWMF"
"Takefusa Kubo",5e+07,22,17,42,2150,7,4,"FWMF"
"Alberto Dadie",250000,21,8,42,28,0,0,"MF"
"Mikel Oyarzabal",4.5e+07,26,8,42,2156,9,3,"FWMF"
"Umar Sadiq",1e+07,26,38,42,1077,3,1,"FW"
"André Silva",6e+06,27,6,42,729,3,0,"FW"
"Carlos Fernández",1500000,27,8,42,408,2,1,"FW"
"Aitor Paredes",2.2e+07,23,8,27,2704,1,0,"DF"
"Yeray Álvarez",8e+06,28,8,27,1152,0,0,"DF"
"Yuri Berchiche",1800000,33,8,27,1930,3,1,"DF"
"Iñigo Lekue",3e+06,30,8,27,2002,0,2,"DF"
"Óscar de Marcos",1500000,34,8,27,2258,1,5,"DF"
"Mikel Vesga",4e+06,30,8,27,1534,3,1,"MF"
"Peru Nolaskoain",1e+06,24,8,27,10,0,0,"MFDF"
"Beñat Prados",1.5e+07,22,8,27,1449,0,0,"MFDF"
"Iñigo Ruiz de Galarreta",5e+06,29,8,27,2091,1,1,"MF"
"Ander Herrera",2e+06,33,8,27,1030,0,3,"MF"
"Dani García",1800000,33,8,27,745,1,0,"MF"
"Mikel Jauregizar",8e+05,19,8,27,151,0,0,"MF"
"Oihan Sancet",3.5e+07,23,8,27,1975,4,5,"MF"
"Unai Gómez",6e+06,20,8,27,875,2,0,"MF"
"Iker Muniain",5e+06,30,8,27,594,2,0,"FWMF"
"Nico Williams",6e+07,21,8,27,2263,5,11,"FW"
"Álex Berenguer",1.2e+07,28,8,27,1592,7,3,"FW"
"Iñaki Williams",2.5e+07,29,64,27,2844,12,3,"FW"
"Adu Ares",2e+06,21,8,27,265,0,0,"FW"
"Aingeru Olabarrieta",5e+05,17,8,27,9,0,0,"FW"
"Gorka Guruzeta",1.8e+07,26,8,27,2217,14,5,"FW"
"Asier Villalibre",2500000,25,8,27,513,2,1,"FW"
