"Name","market_value","age","national_team_ranking","club_ranking","minutes_played","goals","assists","position"
"Michael Olakigbe",6e+05,19,5,98,59,0,0,"FWDF"
"Ivan Toney",5e+07,27,5,98,1450,4,2,"FW"
"Yoane Wissa",2.8e+07,26,61,98,2493,12,3,"FW"
"Adam Webster",2e+07,28,5,91,1144,0,0,"DF"
"Jan Paul van Hecke",1.8e+07,23,7,91,2369,0,0,"DF"
"Igor",1.7e+07,25,4,91,1637,0,0,"DF"
"Lewis Dunk",1.2e+07,31,5,91,2869,3,1,"DF"
"Pervis Estupiñán",3e+07,25,30,91,1243,2,3,"DF"
"Valentín Barco",1.3e+07,19,1,91,307,0,0,"FWDF"
"Tariq Lamptey",1.2e+07,22,64,91,914,0,3,"FWDF"
"Joël Veltman",1e+07,31,7,91,1588,1,1,"DF"
"Odeluga Offiah",3e+05,20,5,91,128,0,0,"DF"
"Carlos Baleba",2.2e+07,19,49,91,1325,0,0,"MF"
"Billy Gilmour",1.8e+07,22,39,91,2120,0,1,"MF"
"Jack Hinshelwood",1.6e+07,18,5,91,869,3,0,"DF"
"Jakub Moder",1e+07,24,26,91,618,0,0,"MFDF"
"Pascal Groß",8e+06,32,16,91,3114,4,10,"MFDF"
"Mahmoud Dahoud",6e+06,27,16,91,452,0,1,"MF"
"James Milner",1e+06,37,5,91,773,0,2,"MFDF"
"Julio Enciso",2.2e+07,19,58,91,475,0,2,"FWMF"
"Facundo Buonanotte",1.8e+07,18,1,91,1364,3,1,"FWMF"
"Adam Lallana",1e+06,35,5,91,850,0,1,"FWMF"
"Kaoru Mitoma",4.5e+07,26,17,91,1486,3,4,"FW"
"Ansu Fati",2.5e+07,20,8,91,521,2,0,"FWMF"
"Simon Adingra",3e+07,21,37,91,2222,6,1,"FW"
"Solly March",1.8e+07,29,5,91,554,3,1,"FWDF"
"Evan Ferguson",5e+07,18,60,91,1367,6,0,"FW"
"João Pedro",4.5e+07,21,4,91,2045,9,3,"FWMF"
"Danny Welbeck",5e+06,32,5,91,1693,5,1,"FWMF"
"Mark O'Mahony",3e+05,18,60,91,63,0,0,"FW"
"Levi Colwill",5e+07,20,5,21,1797,1,1,"DF"
"Axel Disasi",4e+07,25,2,21,2579,2,0,"DF"
"Benoît Badiashile",3e+07,22,2,21,1338,0,1,"DF"
"Trevoh Chalobah",1.3e+07,24,5,21,952,1,0,"DF"
"Alfie Gilchrist",5e+06,19,5,21,207,1,0,"DF"
"Thiago Silva",1e+06,38,4,21,2527,3,1,"DF"
"Ian Maatsen",4e+07,21,7,21,209,0,0,"FWMF"
"Ben Chilwell",2.8e+07,26,5,21,756,0,1,"DF"
"Marc Cucurella",2.5e+07,25,8,21,1782,0,2,"DF"
"Reece James",4e+07,23,5,21,419,0,2,"DF"
"Malo Gusto",3.5e+07,20,2,21,1751,0,6,"DF"
"Moisés Caicedo",7.5e+07,21,30,21,2866,1,3,"MF"
"Roméo Lavia",3.5e+07,19,3,21,33,0,0,"MF"
"Lesley Ugochukwu",2.5e+07,19,2,21,301,0,0,"MF"
"Enzo Fernández",7.5e+07,22,1,21,2209,3,2,"MF"
"Conor Gallagher",5e+07,23,5,21,3128,5,7,"MF"
"Carney Chukwuemeka",1.5e+07,19,5,21,227,1,1,"FWMF"
"Cesare Casadei",1e+07,20,10,21,79,0,0,"FWMF"
"Alex Matos",1200000,18,5,21,1,0,0,"MF"
"Jimi Tauriainen",2e+05,19,5,21,1,0,0,"FW"
"Christopher Nkunku",6.5e+07,25,2,21,443,3,0,"FWMF"
"Raheem Sterling",3.5e+07,28,5,21,1978,8,4,"FWMF"
"Noni Madueke",2.8e+07,21,5,21,1053,5,2,"FW"
"Nicolas Jackson",3.5e+07,22,18,21,2799,14,5,"FW"
"Deivid Washington",9e+06,18,4,21,13,0,0,"FWDF"
"Mason Burstow",1800000,19,5,21,9,0,0,"FW"
"Marc Guéhi",3.8e+07,23,5,40,2021,0,1,"DF"
"Joachim Andersen",3.5e+07,27,21,40,3415,2,3,"DF"
"Chris Richards",1.2e+07,23,11,40,2094,1,1,"MFDF"
"James Tomkins",7e+05,34,5,40,10,0,0,"DF"
"Tyrick Mitchell",2.5e+07,23,5,40,3204,2,3,"MFDF"
"Daniel Muñoz",1.8e+07,27,12,40,1439,0,4,"MFDF"
"Nathaniel Clyne",1500000,32,5,40,1338,0,0,"DF"
"Joel Ward",1e+06,33,5,40,1980,0,1,"DF"
"Cheick Doucouré",3.5e+07,23,50,40,919,0,0,"MF"
"Adam Wharton",3e+07,19,5,40,1297,0,3,"MF"
"Jefferson Lerma",2e+07,28,12,40,2400,1,1,"MFDF"
"David Ozoh",7e+05,18,5,40,156,0,0,"MFDF"
"Will Hughes",9e+06,28,5,40,1891,0,1,"MF"
"Naouirou Ahamada",8e+06,21,2,40,349,0,0,"FWMF"
"Jeffrey Schlupp",7e+06,30,64,40,1352,2,2,"FWMF"
"Eberechi Eze",5.5e+07,25,5,40,2055,11,4,"FWMF"
"Matheus França",1.5e+07,19,4,40,232,0,1,"FWMF"
"Michael Olise",5.5e+07,21,2,40,1275,10,6,"FWMF"
"Jean-Philippe Mateta",2e+07,26,2,40,2282,16,5,"FW"
"Jordan Ayew",4e+06,31,64,40,2543,4,7,"FWMF"
"Jarrad Branthwaite",4.2e+07,21,5,77,3116,3,0,"DF"
"James Tarkowski",1.3e+07,30,5,77,3419,1,1,"DF"
"Ben Godfrey",1e+07,25,5,77,1120,0,0,"DF"
"Michael Keane",6e+06,30,5,77,439,1,0,"DF"
"Vitaliy Mykolenko",2.8e+07,24,24,77,2469,2,0,"DF"
"Ashley Young",5e+05,38,5,77,2280,0,0,"MFDF"
"Nathan Patterson",1.5e+07,21,39,77,1005,0,2,"DF"
"Séamus Coleman",5e+05,34,60,77,665,0,0,"DF"
"Amadou Onana",5e+07,21,3,77,2091,2,0,"MF"
"James Garner",2.2e+07,22,5,77,3004,1,2,"MF"
"Abdoulaye Doucouré",1e+07,30,50,77,2629,7,1,"FWMF"
"André Gomes",1e+07,30,6,77,508,1,0,"FWMF"
"Lewis Warrington",5e+05,20,5,77,1,0,0,"FW"
"Tyler Onyango",5e+05,20,5,77,1,0,0,"MF"
