"Name","Market.Value","Age","Nation","Team","MP","Min","X90s","Starts","Subs","unSub","Gls","Ast","G.A","G.PK","PK","PKatt","PKm","Pos","X.9999"
"Sandro Tonali","€38.00m","23","Italy","Newcastle Utd","8","438","4.9","5","3","1","1","0","1","1","0","0","0","MF","0db169ae"
"Joe Willock","€30.00m","23","England","Newcastle Utd","9","419","4.7","5","4","0","1","0","1","1","0","0","0","MF","a3b03921"
"Sean Longstaff","€25.00m","25","England","Newcastle Utd","35","2747","30.5","30","5","0","6","2","8","6","0","0","0","MF","a2b105e0"
"Lewis Miley","€22.00m","17","England","Newcastle Utd","17","1202","13.4","14","3","1","1","3","4","1","0","0","0","MF","2c6835e5"
"Elliot Anderson","€15.00m","20","England","Newcastle Utd","21","1027","11.4","10","11","0","0","2","2","0","0","0","0","MFFW","de31038e"
"Matt Ritchie","€1.00m","33","Scotland","Newcastle Utd","13","128","1.4","0","13","18","1","0","1","1","0","0","0","FWMF","71ef519e"
"Joe White","€300k","20","England","Newcastle Utd","4","13","0.1","0","4","10","0","0","0","0","0","0","0","MF","d60c03a9"
"Anthony Gordon","€60.00m","22","England","Newcastle Utd","35","2890","32.1","34","1","0","11","10","21","10","1","1","0","FW","2bd83368"
"Harvey Barnes","€35.00m","25","England","Newcastle Utd","21","802","8.9","7","14","0","5","3","8","5","0","0","0","FWMF","3ea50f67"
"Amadou Diallo","€400k","20","England","Newcastle Utd","1","1","0.0","0","1","5","0","0","0","0","0","0","0","MF","e31708b2"
"Miguel Almirón","€20.00m","29","Paraguay","Newcastle Utd","33","1937","21.5","23","10","0","3","1","4","3","0","0","0","FW","862a1c15"
"Jacob Murphy","€15.00m","28","England","Newcastle Utd","21","1189","13.2","14","7","5","3","7","10","3","0","0","0","FWDF","de112b84"
"Ben Parkinson","€250k","18","England","Newcastle Utd","1","25","0.3","0","1","8","0","0","0","0","0","0","0","FW","32163807"
"Alexander Isak","€75.00m","23","Sweden","Newcastle Utd","30","2255","25.1","27","3","1","21","2","23","16","5","6","1","FW","8e92be30"
"Callum Wilson","€13.00m","31","England","Newcastle Utd","20","991","11.0","9","11","0","9","1","10","7","2","2","0","FW","c596fcb0"
"Murillo","€35.00m","21","Brazil","Nott'ham Forest","32","2789","31.0","32","0","0","0","2","2","0","0","0","0","DF","1704b0b8"
"Andrew Omobamidele","€11.00m","21","Republic of Ireland","Nott'ham Forest","11","783","8.7","8","3","8","0","0","0","0","0","0","0","DF","c393a6c4"
"Scott McKenna","€9.00m","26","Scotland","Nott'ham Forest","5","416","4.6","5","0","1","0","0","0","0","0","0","0","DF","4e5a4cbc"
"Joe Worrall","€7.50m","26","England","Nott'ham Forest","7","439","4.9","5","2","7","0","0","0","0","0","0","0","DF","a5212312"
"Willy Boly","€2.50m","32","Côte d'Ivoire","Nott'ham Forest","20","1438","16.0","18","2","3","2","1","3","2","0","0","0","DF","a4ac4b8f"
"Felipe","€1.50m","34","Brazil","Nott'ham Forest","7","375","4.2","4","3","5","0","0","0","0","0","0","0","DF","51a3c4c8"
"Nuno Tavares","€15.00m","23","Portugal","Nott'ham Forest","8","457","5.1","5","3","5","0","0","0","0","0","0","0","DF","a65c844b"
"Harry Toffolo","€5.00m","27","England","Nott'ham Forest","23","1459","16.2","15","8","9","1","3","4","1","0","0","0","DF","a105d46a"
"Neco Williams","€17.00m","22","Wales","Nott'ham Forest","26","1637","18.2","18","8","5","0","1","1","0","0","0","0","DF","dd323728"
"Ola Aina","€12.00m","26","Nigeria","Nott'ham Forest","22","1692","18.8","20","2","3","1","1","2","1","0","0","0","DF","246d153b"
"Gonzalo Montiel","€10.00m","26","Argentina","Nott'ham Forest","14","801","8.9","8","6","10","0","2","2","0","0","0","0","DF","374d5158"
"Serge Aurier","€3.70m","30","Côte d'Ivoire","Nott'ham Forest","12","833","9.3","10","2","1","0","2","2","0","0","0","0","DFMF","5c2b4f07"
"Ibrahim Sangaré","€30.00m","25","Côte d'Ivoire","Nott'ham Forest","17","1035","11.5","13","4","7","0","0","0","0","0","0","0","MF","bced0375"
"Danilo","€28.00m","22","Brazil","Nott'ham Forest","29","1792","19.9","20","9","2","2","2","4","2","0","0","0","MF","a816dbfb"
"Orel Mangala","€20.00m","25","Belgium","Nott'ham Forest","20","1563","17.4","19","1","1","1","0","1","1","0","0","0","MF","a572e291"
"Cheikhou Kouyaté","€1.00m","33","Senegal","Nott'ham Forest","12","212","2.4","2","10","18","0","0","0","0","0","0","0","MF","8d3c902d"
"Nicolás Domínguez","€17.00m","25","Argentina","Nott'ham Forest","26","1495","16.6","19","7","6","2","2","4","2","0","0","0","MFFW","20b3a502"
"Ryan Yates","€12.00m","25","England","Nott'ham Forest","35","1992","22.1","21","14","2","1","1","2","1","0","0","0","MF","c1fe2a48"
"Morgan Gibbs-White","€40.00m","23","England","Nott'ham Forest","37","3156","35.1","35","2","0","5","10","15","4","1","1","0","MFFW","32f60ed8"
"Brandon Aguilera","€300k","20","Costa Rica","Nott'ham Forest","1","5","0.1","0","1","3","0","0","0","0","0","0","0","FW","938fa024"
"Callum Hudson-Odoi","€18.00m","22","England","Nott'ham Forest","29","1854","20.6","20","9","1","8","1","9","8","0","0","0","FWMF","15f3ec41"
"Anthony Elanga","€22.00m","21","Sweden","Nott'ham Forest","36","2433","27.0","25","11","0","5","9","14","5","0","0","0","FWMF","2fba6108"
"Taiwo Awoniyi","€28.00m","25","Nigeria","Nott'ham Forest","20","1042","11.6","12","8","0","6","3","9","6","0","0","0","FW","e5478b87"
"Chris Wood","€7.00m","31","New Zealand","Nott'ham Forest","31","1812","20.1","20","11","0","14","1","15","14","0","0","0","FW","4e9a0555"
"Divock Origi","€5.00m","28","Belgium","Nott'ham Forest","20","606","6.7","6","14","7","0","1","1","0","0","0","0","FW","43a166b4"
"Rodrigo Ribeiro","€3.00m","18","Portugal","Nott'ham Forest","4","17","0.2","0","4","8","0","0","0","0","0","0","0","MFFW","484a3eae"
"Cristian Romero","€60.00m","25","Argentina","Tottenham","33","2790","31.0","33","0","0","5","0","5","5","0","0","0","DF","a3d94a58"
"Micky van de Ven","€55.00m","22","Netherlands","Tottenham","27","2339","26.0","27","0","1","3","0","3","3","0","0","0","DF","8fe2a392"
"Radu Drăgușin","€25.00m","21","Romania","Tottenham","9","429","4.8","4","5","9","0","0","0","0","0","0","0","DF","620922ed"
"Davinson Sánchez","€17.00m","27","Colombia","Tottenham","1","77","0.9","0","1","3","0","0","0","0","0","0","0","DF","da7b447d"
"Eric Dier","€12.00m","29","England","Tottenham","4","201","2.2","1","3","8","0","0","0","0","0","0","0","DF","ac861941"
"Ben Davies","€10.00m","30","Wales","Tottenham","17","1090","12.1","12","5","13","1","0","1","1","0","0","0","DF","44781702"
"Destiny Udogie","€45.00m","20","Italy","Tottenham","28","2391","26.6","28","0","0","2","3","5","2","0","0","0","DF","7cd520e8"
"Pedro Porro","€45.00m","23","Spain","Tottenham","35","3089","34.3","35","0","1","3","7","10","3","0","0","0","DF","27d0a506"
"Yves Bissouma","€35.00m","26","Mali","Tottenham","28","2068","23.0","26","2","0","0","0","0","0","0","0","0","MF","6c203af0"
"Rodrigo Bentancur","€35.00m","26","Uruguay","Tottenham","23","1005","11.2","13","10","0","1","1","2","1","0","0","0","MF","3b8674e6"
"Oliver Skipp","€15.00m","22","England","Tottenham","21","707","7.9","5","16","10","0","0","0","0","0","0","0","MFDF","6250083a"
"Pape Matar Sarr","€45.00m","20","Senegal","Tottenham","34","2069","23.0","27","7","0","3","3","6","3","0","0","0","MF","feb5d972"
"Giovani Lo Celso","€16.00m","27","Argentina","Tottenham","22","506","5.6","4","18","6","2","2","4","2","0","0","0","MF","d7553721"
"James Maddison","€70.00m","26","England","Tottenham","28","2135","23.7","26","2","0","4","9","13","4","0","0","0","MF","ee38d9c5"
"Dejan Kulusevski","€55.00m","23","Sweden","Tottenham","36","2762","30.7","31","5","0","8","3","11","8","0","0","0","FWMF","df3cda47"
"Timo Werner","€17.00m","27","Germany","Tottenham","13","809","9.0","10","3","0","2","3","5","2","0","0","0","FW","49fe9070"
"Bryan Gil","€14.00m","22","Spain","Tottenham","11","209","2.3","2","9","13","0","0","0","0","0","0","0","FWMF","7b5ab7f2"
"Manor Solomon","€13.00m","24","Israel","Tottenham","5","199","2.2","2","3","2","0","2","2","0","0","0","0","FW","886f9aac"
"Jamie Donley","€1.50m","18","England","Tottenham","3","3","0.0","0","3","10","0","0","0","0","0","0","0","FW","5e4d9b48"
"Richarlison","€38.00m","26","Brazil","Tottenham","28","1491","16.6","18","10","1","11","4","15","11","0","0","0","FW","fa031b34"
"Dane Scarlett","€1.80m","19","England","Tottenham","4","22","0.2","0","4","4","0","0","0","0","0","0","0","FW","21945a9e"
"Nayef Aguerd","€35.00m","27","Morocco","West Ham","21","1857","20.6","21","0","4","1","0","1","1","0","0","0","DF","288e1e13"
"Kurt Zouma","€25.00m","28","France","West Ham","33","2838","31.5","32","1","1","3","0","3","3","0","0","0","DF","ce4246f5"
"Konstantinos Mavropanos","€20.00m","25","Greece","West Ham","19","1500","16.7","16","3","10","1","0","1","1","0","0","0","DF","00963611"
"Thilo Kehrer","€10.00m","26","Germany","West Ham","4","22","0.2","0","4","14","0","0","0","0","0","0","0","DFMF","51dbeea9"
"Kaelan Casey","€1.00m","18","England","West Ham","1","1","0.0","0","1","7","0","0","0","0","0","0","0","DF","cd4b2c5f"
"Angelo Ogbonna","€700k","35","Italy","West Ham","11","635","7.1","7","4","27","0","0","0","0","0","0","0","DF","74b2cd7e"
"Emerson","€12.00m","24","Brazil","Tottenham","22","1161","12.9","11","11","16","1","0","1","1","0","0","0","DF","df8b52a5"
"Aaron Cresswell","€900k","33","England","West Ham","11","436","4.8","4","7","21","0","0","0","0","0","0","0","DFFW","4f974391"
"Ben Johnson","€8.00m","23","England","West Ham","14","544","6.0","4","10","11","0","0","0","0","0","0","0","DFFW","9319781b"
"Vladimír Coufal","€8.00m","30","Czech Republic","West Ham","36","3132","34.8","36","0","0","0","7","7","0","0","0","0","DF","fdf3cb77"
"Edson Álvarez","€35.00m","25","Mexico","West Ham","31","2377","26.4","28","3","1","1","1","2","1","0","0","0","MF","8b3ab7ad"
"James Ward-Prowse","€30.00m","28","England","West Ham","37","3001","33.3","34","3","0","7","7","14","5","2","2","0","MF","3515d404"
"Lucas Paquetá","€65.00m","25","Brazil","West Ham","31","2622","29.1","31","0","0","4","6","10","2","2","2","0","FWMF","9b6f7fd5"
"Pablo Fornals","€14.00m","27","Spain","West Ham","15","426","4.7","4","11","6","0","0","0","0","0","0","0","MFFW","82927de4"
"George Earthy","€1.00m","18","England","West Ham","3","34","0.4","0","3","6","1","0","1","1","0","0","0","FW","123d2733"
"Saïd Benrahma","€20.00m","27","Algeria","West Ham","13","620","6.9","5","8","7","0","1","1","0","0","1","1","FWMF","5a04fd92"
"Maxwel Cornet","€9.00m","26","Côte d'Ivoire","West Ham","7","112","1.2","1","6","21","1","0","1","1","0","0","0","MFFW","beb391dd"
"Mohammed Kudus","€50.00m","22","Ghana","West Ham","33","2484","27.6","27","6","0","8","6","14","8","0","0","0","FWMF","b62878a5"
"Jarrod Bowen","€50.00m","26","England","West Ham","34","3019","33.5","34","0","0","16","6","22","16","0","0","0","FW","79c84d1c"
"Danny Ings","€8.00m","31","England","West Ham","20","404","4.5","3","17","18","1","0","1","1","0","0","0","FW","07802f7f"
"Michail Antonio","€4.00m","33","Jamaica","West Ham","26","1695","18.8","21","5","0","6","2","8","6","0","0","0","FW","ac05f970"
"Divin Mubama","€1.00m","18","England","West Ham","5","80","0.9","0","5","26","0","0","0","0","0","0","0","FW","92868cb5"
"Santiago Bueno","€8.00m","24","Uruguay","Wolves","12","822","9.1","9","3","18","0","0","0","0","0","0","0","DF","edc98fac"
"Craig Dawson","€2.00m","33","England","Wolves","25","2209","24.5","25","0","2","1","1","2","1","0","0","0","DF","3e9e06cb"
"Rayan Aït-Nouri","€35.00m","22","Algeria","Wolves","33","2329","25.9","29","4","0","2","1","3","2","0","0","0","DFMF","9b398aea"
"Hugo Bueno","€6.00m","20","Spain","Wolves","22","741","8.2","7","15","11","0","0","0","0","0","0","0","DFMF","bfc3b3a0"
"Nélson Semedo","€12.00m","29","Portugal","Wolves","36","3084","34.3","36","0","0","0","1","1","0","0","0","0","DFMF","d04b94db"
"Matt Doherty","€3.00m","31","Republic of Ireland","Wolves","30","1150","12.8","9","21","8","1","0","1","1","0","0","0","DFMF","d557d734"
"Mario Lemina","€10.00m","29","Gabon","Wolves","35","2968","33.0","34","1","0","4","1","5","4","0","0","0","MF","2b471f99"
"Boubacar Traoré","€6.00m","21","Mali","Wolves","24","819","9.1","7","17","9","0","0","0","0","0","0","0","MF","999ceb5f"
"João Gomes","€35.00m","22","Brazil","Wolves","34","2649","29.4","32","2","1","2","1","3","2","0","0","0","MF","8b57ad2c"
"Jean-Ricner Bellegarde","€15.00m","25","France","Wolves","22","958","10.6","10","12","0","2","1","3","2","0","0","0","MFFW","10f0fdd3"
"Tommy Doyle","€10.00m","21","England","Wolves","26","1222","13.6","11","15","6","0","0","0","0","0","0","0","MF","5526deb1"
"Tawanda Chirewa","€500k","19","Zimbabwe","Wolves","8","145","1.6","1","7","15","0","0","0","0","0","0","0","MFFW","34721c11"
"Pedro Neto","€55.00m","23","Portugal","Wolves","20","1516","16.8","18","2","1","2","9","11","2","0","0","0","FWMF","7ba2eaa9"
"Pablo Sarabia","€10.00m","31","Spain","Wolves","30","1745","19.4","20","10","7","4","7","11","2","2","2","0","MFFW","9744ff80"
"Matheus Cunha","€45.00m","24","Brazil","Wolves","32","2440","27.1","29","3","0","12","7","19","11","1","1","0","FWMF","dc62b55d"
"Fábio Silva","€11.00m","21","Portugal","Wolves","8","264","2.9","3","5","9","0","0","0","0","0","0","0","FW","e7aa9d7c"
"Sasa Kalajdzic","€5.00m","26","Austria","Wolves","11","166","1.8","1","10","9","2","0","2","2","0","0","0","FW","15f24fe7"
"Nathan Fraser","€1.00m","18","Republic of Ireland","Wolves","7","186","2.1","1","6","13","0","0","0","0","0","0","0","FW","00b77ecf"
"Leon Chiwome","€1.00m","17","England","Wolves","3","174","1.9","2","1","1","0","0","0","0","0","0","0","FW","a2852b4f"
"Jordan Beyer","€13.00m","23","Germany","Burnley","15","1234","13.7","15","0","0","0","1","1","0","0","0","0","DF","9af1f9ff"
"Ameen Al-Dakhil","€12.00m","21","Belgium","Burnley","13","1056","11.7","12","1","2","1","0","1","1","0","0","0","DF","93e08bce"
"Dara O'Shea","€7.00m","24","Republic of Ireland","Burnley","33","2892","32.1","32","1","1","3","4","7","3","0","0","0","DF","1d042188"
"Hjalmar Ekdal","€7.00m","24","Sweden","Burnley","8","437","4.9","5","3","12","0","0","0","0","0","0","0","DF","3d554589"
"Maxime Estève","€7.00m","21","France","Burnley","16","1309","14.5","15","1","0","0","0","0","0","0","0","0","DF","1a066e69"
"Hannes Delcroix","€4.00m","24","Belgium","Burnley","12","589","6.5","5","7","10","0","0","0","0","0","0","0","DF","b737f944"
"Charlie Taylor","€3.00m","29","England","Burnley","28","2331","25.9","25","3","2","1","1","2","1","0","0","0","DF","cc2d7ad5"
"Lorenz Assignon","€10.00m","23","Togo","Burnley","15","1234","13.7","15","0","0","1","2","3","1","0","0","0","DF","b026bbf6"
"Connor Roberts","€7.00m","27","Wales","Burnley","14","823","9.1","8","6","5","0","1","1","0","0","0","0","DF","24fae784"
"Vitinho","€5.00m","24","Brazil","Burnley","32","2314","25.7","26","6","2","0","2","2","0","0","0","0","DFMF","9295dc1c"
"Sander Berge","€20.00m","25","Norway","Burnley","37","3005","33.4","34","3","0","1","2","3","1","0","0","0","MF","d0b6129f"
"Josh Cullen","€10.00m","27","Republic of Ireland","Burnley","25","2057","22.9","23","2","8","2","3","5","2","0","0","0","MF","f6d7d690"
"Han-Noah Massengo","€4.00m","22","France","Burnley","3","16","0.2","0","3","5","0","0","0","0","0","0","0","MFDF","eba1e557"
"Jack Cork","€800k","34","England","Burnley","4","27","0.3","0","4","18","0","0","0","0","0","0","0","MF","74e12f1e"
"Josh Brownhill","€15.00m","27","England","Burnley","33","2252","25.0","23","10","4","4","2","6","4","0","0","0","MF","47369df8"
"Aaron Ramsey","€15.00m","20","England","Burnley","14","527","5.9","5","9","3","0","0","0","0","0","0","0","MFFW","e1618c22"
"Anass Zaroury","€9.00m","22","Morocco","Burnley","6","152","1.7","1","5","7","0","0","0","0","0","0","0","FWMF","07d65234"
"Mike Trésor","€12.00m","24","Belgium","Burnley","16","420","4.7","3","13","9","0","0","0","0","0","0","0","FWMF","b2a81fc6"
"Jacob Bruun Larsen","€8.00m","24","Denmark","Burnley","32","1249","13.9","16","16","5","6","0","6","5","1","1","0","MFFW","4e204552"
"Wilson Odobert","€10.00m","18","France","Burnley","29","2098","23.3","25","4","4","3","2","5","3","0","0","0","MFFW","35516eac"
"Luca Koleosho","€7.00m","18","Italy","Burnley","15","974","10.8","13","2","0","1","1","2","1","0","0","0","MFFW","fc076f78"
"Benson Manuel","€5.00m","26","Angola","Burnley","8","116","1.3","1","7","13","0","0","0","0","0","0","0","MFFW","d7f99582"
"Nathan Redmond","€5.00m","29","England","Burnley","12","142","1.6","0","12","3","0","0","0","0","0","0","0","FWMF","ab651565"
"Lyle Foster","€13.00m","22","South Africa","Burnley","24","1899","21.1","22","2","0","5","3","8","5","0","0","0","FWMF","f84a807c"
"David Datro Fofana","€12.00m","20","Côte d'Ivoire","Burnley","15","879","9.8","10","5","1","4","1","5","4","0","0","0","FW","e82900ef"
"Zeki Amdouni","€12.00m","22","Switzerland","Burnley","34","1953","21.7","27","7","4","5","1","6","4","1","1","0","FW","2ee5b0c9"
"Michael Obafemi","€2.20m","23","Republic of Ireland","Burnley","2","20","0.2","0","2","4","0","0","0","0","0","0","0","FWMF","caa1a7f0"
"Auston Trusty","€7.00m","24","United States","Sheffield Utd","32","2572","28.6","28","4","6","0","0","0","0","0","0","0","DF","cddf767b"
"Mason Holgate","€5.00m","26","England","Sheffield Utd","10","710","7.9","9","1","2","0","0","0","0","0","0","0","DF","d0042ab9"
"John Egan","€4.00m","30","Republic of Ireland","Sheffield Utd","6","482","5.4","6","0","0","0","0","0","0","0","0","0","DF","debe38a0"
"Jack Robinson","€1.00m","29","England","Sheffield Utd","34","2885","32.1","31","3","0","1","1","2","1","0","0","0","DF","7399c7a8"
"Chris Basham","€300k","35","England","Sheffield Utd","8","321","3.6","3","5","0","0","0","0","0","0","0","0","DFMF","1aa84968"
"Luke Thomas","€6.00m","22","England","Sheffield Utd","12","917","10.2","11","1","4","0","0","0","0","0","0","0","DF","fc027d02"
"Yasser Larouci","€3.00m","22","Algeria","Sheffield Utd","11","531","5.9","6","5","23","0","0","0","0","0","0","0","DF","0ed063d6"
"Max Lowe","€2.50m","26","England","Sheffield Utd","10","503","5.6","4","6","3","0","0","0","0","0","0","0","DFMF","7af88b33"
"Rhys Norrington-Davies","€2.50m","24","Wales","Sheffield Utd","5","110","1.2","2","3","1","0","0","0","0","0","0","0","DF","ca76b087"
"Jayden Bogle","€3.80m","23","England","Sheffield Utd","34","2788","31.0","32","2","1","3","0","3","3","0","0","0","DF","ae5019e6"
"George Baldock","€2.50m","30","Greece","Sheffield Utd","13","969","10.8","11","2","1","0","1","1","0","0","0","0","DF","394854c4"
"Sam Curtis","€150k","17","Republic of Ireland","Sheffield Utd","1","28","0.3","0","1","8","0","0","0","0","0","0","0","DF","7d42865e"
"Gustavo Hamer","€15.00m","26","Netherlands","Sheffield Utd","36","2910","32.3","34","2","0","4","6","10","4","0","0","0","MF","eebacc07"
"Tom Davies","€5.00m","25","England","Sheffield Utd","9","221","2.5","2","7","1","0","0","0","0","0","0","0","MF","9228b07c"
"Andre Brooks","€2.50m","19","England","Sheffield Utd","20","938","10.4","12","8","11","0","0","0","0","0","0","0","MFDF","5f346071"
"Oliver Norwood","€1.00m","32","Northern Ireland","Sheffield Utd","27","1440","16.0","16","11","9","1","0","1","0","1","1","0","MF","43439614"
"Ben Osborn","€1.00m","28","England","Sheffield Utd","24","1367","15.2","14","10","5","0","2","2","0","0","0","0","DFMF","79bc4c45"
"John Fleck","€900k","31","Scotland","Sheffield Utd","4","92","1.0","1","3","5","0","0","0","0","0","0","0","MFDF","b63e789d"
"Oliver Arblaster","€450k","19","England","Sheffield Utd","12","943","10.5","11","1","2","0","0","0","0","0","0","0","MF","afe1a491"
"Sydie Peck","€200k","18","England","Sheffield Utd","1","10","0.1","0","1","1","0","0","0","0","0","0","0","MF","767d9605"
"Bénie Traoré","€4.00m","20","Côte d'Ivoire","Sheffield Utd","8","387","4.3","3","5","11","0","0","0","0","0","0","0","FWMF","77816c91"
"Rhian Brewster","€3.00m","23","England","Sheffield Utd","13","346","3.8","3","10","1","0","0","0","0","0","0","0","FWMF","30e81a88"
"William Osula","€3.00m","19","Denmark","Sheffield Utd","21","786","8.7","9","12","9","0","0","0","0","0","0","0","FW","7b355808"
"Daniel Jebbison","€1.00m","19","England","Sheffield Utd","1","21","0.2","0","1","0","0","0","0","0","0","0","0","FW","03edb878"
"Antwoine Hackford","€500k","19","England","Sheffield Utd","2","13","0.1","0","2","0","0","0","0","0","0","0","0","FW","a7588cdc"
"Teden Mengi","€12.00m","21","England","Luton Town","30","2469","27.4","28","2","3","1","0","1","1","0","0","0","DF","91748070"
"Gabriel Osho","€3.00m","24","Nigeria","Luton Town","21","1846","20.5","21","0","1","2","0","2","2","0","0","0","DF","cd889153"
"Tom Lockyer","€2.50m","28","Wales","Luton Town","14","1169","13.0","14","0","0","1","1","2","1","0","0","0","DF","37118440"
"Reece Burke","€1.80m","26","England","Luton Town","22","1660","18.4","20","2","3","0","4","4","0","0","0","0","DF","a681b7b7"
"Amari'i Bell","€2.50m","29","Jamaica","Luton Town","21","1720","19.1","21","0","0","0","0","0","0","0","0","0","DF","399e9474"
"Issa Kaboré","€10.00m","22","Burkina Faso","Luton Town","24","1729","19.2","21","3","4","0","2","2","0","0","0","0","DF","c066d1a5"
"Daiki Hashioka","€2.00m","24","Japan","Luton Town","10","595","6.6","6","4","3","0","0","0","0","0","0","0","DF","10cb48b7"
"Marvelous Nakamba","€5.00m","29","Zimbabwe","Luton Town","13","1130","12.6","13","0","0","0","0","0","0","0","0","0","MF","de5b5570"
"Pelly Ruddock Mpanzu","€1.50m","30","DR Congo","Luton Town","27","1101","12.2","11","16","11","0","0","0","0","0","0","0","MF","a9b1c319"
"Albert Sambi Lokonga","€15.00m","23","Belgium","Luton Town","17","1303","14.5","16","1","0","1","3","4","1","0","0","0","MF","1b4f1169"
"Ross Barkley","€8.00m","29","England","Luton Town","32","2618","29.1","30","2","0","5","4","9","5","0","0","0","MF","3a24769f"
"Jordan Clark","€1.00m","29","England","Luton Town","23","1304","14.5","14","9","4","1","1","2","1","0","0","0","MF","7c5fa6cf"
"Luke Berry","€400k","31","England","Luton Town","17","323","3.6","2","15","16","2","1","3","2","0","0","0","MFDF","2aaadf33"
"Alfie Doughty","€10.00m","23","England","Luton Town","37","2925","32.5","34","3","0","2","8","10","2","0","0","0","DF","bf33b257"
"Fred Onyedinma","€500k","26","England","Luton Town","8","407","4.5","4","4","1","0","0","0","0","0","0","0","DFMF","387d06b2"
"Zack Nelson","€100k","18","England","Luton Town","2","7","0.1","0","2","14","0","0","0","0","0","0","0","MFDF","de0abf23"
"Chiedozie Ogbene","€8.00m","26","Republic of Ireland","Luton Town","30","1995","22.2","20","10","0","4","1","5","4","0","0","0","MFDF","788c0277"
"Tahith Chong","€6.00m","23","Netherlands","Luton Town","33","1982","22.0","20","13","5","4","0","4","4","0","0","0","MFFW","2696b6a9"
"Andros Townsend","€1.80m","32","England","Luton Town","27","1210","13.4","14","13","3","1","3","4","1","0","0","0","MFFW","b28bbd58"
"Carlton Morris","€13.00m","27","England","Luton Town","38","2862","31.8","32","6","0","11","4","15","6","5","5","0","FWMF","2da834f1"
"Elijah Adebayo","€12.00m","25","England","Luton Town","27","1419","15.8","16","11","0","10","0","10","10","0","0","0","FW","0480ebc7"
"Jacob Brown","€4.00m","25","Scotland","Luton Town","19","1019","11.3","12","7","2","2","0","2","2","0","0","0","MFFW","ca18c8f1"
"Cauley Woodrow","€1.00m","28","England","Luton Town","24","427","4.7","2","22","8","1","1","2","1","0","0","0","FWMF","d3085b49"
